defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/CHEBI_33296	alkali metal molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_22314	alkali metal atom
http://purl.obolibrary.org/obo/CHEBI_35479	alkali metal salt	http://purl.obolibrary.org/obo/CHEBI_24866	salt	http://purl.obolibrary.org/obo/CHEBI_22314	alkali metal atom
http://purl.obolibrary.org/obo/CHEBI_33513	alkaline earth cation	http://purl.obolibrary.org/obo/CHEBI_36916	cation	http://purl.obolibrary.org/obo/CHEBI_22313	alkaline earth metal atom
http://purl.obolibrary.org/obo/CHEBI_33299	alkaline earth molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_22313	alkaline earth metal atom
http://purl.obolibrary.org/obo/CHEBI_33581	boron group molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_33317	boron group element atom
http://purl.obolibrary.org/obo/CHEBI_22916	boron molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_27560	boron atom
http://purl.obolibrary.org/obo/CHEBI_39123	calcium cation	http://purl.obolibrary.org/obo/CHEBI_36916	cation	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/CHEBI_35150	calcium hydroxide	http://purl.obolibrary.org/obo/CHEBI_24651	hydroxides	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/CHEBI_39124	calcium ion	http://purl.obolibrary.org/obo/CHEBI_24870	ion	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/CHEBI_22985	calcium molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/CHEBI_35156	calcium salt	http://purl.obolibrary.org/obo/CHEBI_24866	salt	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/CHEBI_33582	carbon group molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_33306	carbon group element atom
http://purl.obolibrary.org/obo/CHEBI_23014	carbon oxide	http://purl.obolibrary.org/obo/CHEBI_25741	oxide	http://purl.obolibrary.org/obo/CHEBI_27594	carbon atom
