defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/CHEBI_18412		http://purl.obolibrary.org/obo/CHEBI_25703	organic phosphate	http://purl.obolibrary.org/obo/CHEBI_29016	arginine
http://purl.obolibrary.org/obo/CHEBI_15422	ATP	http://purl.obolibrary.org/obo/CHEBI_17972	ribonucleoside triphosphate	http://purl.obolibrary.org/obo/CHEBI_16335	adenosine
http://purl.obolibrary.org/obo/CHEBI_16436	CDP-choline	http://purl.obolibrary.org/obo/CHEBI_23217	cholines	http://purl.obolibrary.org/obo/CHEBI_17239	CDP
http://purl.obolibrary.org/obo/CHEBI_83966	D-arginine derivative	http://purl.obolibrary.org/obo/CHEBI_22617	arginine derivative	http://purl.obolibrary.org/obo/CHEBI_15816	D-arginine
http://purl.obolibrary.org/obo/CHEBI_49169	D-dopa	http://purl.obolibrary.org/obo/CHEBI_49168	dopa	http://purl.obolibrary.org/obo/CHEBI_16998	D-phenylalanine
http://purl.obolibrary.org/obo/CHEBI_78697	D-fructose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_88003	fructose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_15824	D-fructose
http://purl.obolibrary.org/obo/CHEBI_14314	D-glucose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_47877	hexose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_17634	D-glucose
http://purl.obolibrary.org/obo/CHEBI_4195	D-hexose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_47877	hexose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_4194	D-hexose
http://purl.obolibrary.org/obo/CHEBI_84143	D-phenylalanine derivative	http://purl.obolibrary.org/obo/CHEBI_25985	phenylalanine derivative	http://purl.obolibrary.org/obo/CHEBI_16998	D-phenylalanine
http://purl.obolibrary.org/obo/CHEBI_134398	D-proline betaine	http://purl.obolibrary.org/obo/CHEBI_35281	onium betaine	http://purl.obolibrary.org/obo/CHEBI_32868	D-prolinium
http://purl.obolibrary.org/obo/CHEBI_17837	D-tagatose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_49094	tagatose 6-phosphate	http://purl.obolibrary.org/obo/CHEBI_16443	D-tagatose
http://purl.obolibrary.org/obo/CHEBI_84124	D-tyrosine derivative	http://purl.obolibrary.org/obo/CHEBI_84143	D-phenylalanine derivative	http://purl.obolibrary.org/obo/CHEBI_28479	D-tyrosine
http://purl.obolibrary.org/obo/CHEBI_83965	L-arginine derivative	http://purl.obolibrary.org/obo/CHEBI_22617	arginine derivative	http://purl.obolibrary.org/obo/CHEBI_16467	L-arginine
