defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/CHEBI_27963	(Kdo)2-lipid A (E. coli)	http://purl.obolibrary.org/obo/CHEBI_25051	lipid As	http://purl.obolibrary.org/obo/CHEBI_58540	(Kdo)2-lipid A(6-) (E. coli)
http://purl.obolibrary.org/obo/CHEBI_52618	2-hydroxy carboxylic acid	http://purl.obolibrary.org/obo/CHEBI_33575	carboxylic acid	http://purl.obolibrary.org/obo/CHEBI_58896	2-hydroxy carboxylate
http://purl.obolibrary.org/obo/CHEBI_35910	2-oxo monocarboxylic acid	http://purl.obolibrary.org/obo/CHEBI_33575	carboxylic acid	http://purl.obolibrary.org/obo/CHEBI_35179	2-oxo monocarboxylic acid anion
http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP	http://purl.obolibrary.org/obo/CHEBI_84055	pentose phosphate	http://purl.obolibrary.org/obo/CHEBI_58165	3',5'-cyclic AMP -1 ion
http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP	http://purl.obolibrary.org/obo/CHEBI_84055	pentose phosphate	http://purl.obolibrary.org/obo/CHEBI_58165	3',5'-cyclic AMP(1-)
http://purl.obolibrary.org/obo/CHEBI_16356	3',5'-cyclic GMP	http://purl.obolibrary.org/obo/CHEBI_18375	nucleoside 3',5'-cyclic phosphate	http://purl.obolibrary.org/obo/CHEBI_57746	3',5'-cyclic GMP -1 ion
http://purl.obolibrary.org/obo/CHEBI_16356	3',5'-cyclic GMP	http://purl.obolibrary.org/obo/CHEBI_18375	nucleoside 3',5'-cyclic phosphate	http://purl.obolibrary.org/obo/CHEBI_57746	3',5'-cyclic GMP(1-)
http://purl.obolibrary.org/obo/CHEBI_133574	5-hydroxylysinium	http://purl.obolibrary.org/obo/CHEBI_33719	alpha-amino-acid cation	http://purl.obolibrary.org/obo/CHEBI_60175	5-hydroxylysine
http://purl.obolibrary.org/obo/CHEBI_32436	D-alaninium	http://purl.obolibrary.org/obo/CHEBI_33719	alpha-amino-acid cation	http://purl.obolibrary.org/obo/CHEBI_15570	D-alanine
http://purl.obolibrary.org/obo/CHEBI_21100	D-altrarate -1 ion	http://purl.obolibrary.org/obo/CHEBI_35389	altrarate(1-)	http://purl.obolibrary.org/obo/CHEBI_37546	D-altrarate -2 ion
http://purl.obolibrary.org/obo/CHEBI_21100	D-altrarate -1 ion	http://purl.obolibrary.org/obo/CHEBI_35389	altrarate(1-)	http://purl.obolibrary.org/obo/CHEBI_37546	D-altrarate(2-)
http://purl.obolibrary.org/obo/CHEBI_21100	D-altrarate(1-)	http://purl.obolibrary.org/obo/CHEBI_35389	altrarate(1-)	http://purl.obolibrary.org/obo/CHEBI_37546	D-altrarate -2 ion
http://purl.obolibrary.org/obo/CHEBI_21100	D-altrarate(1-)	http://purl.obolibrary.org/obo/CHEBI_35389	altrarate(1-)	http://purl.obolibrary.org/obo/CHEBI_37546	D-altrarate(2-)
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32697	argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium +1 ion
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32697	argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium(1+)
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32697	argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium +1 ion
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32697	argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium(1+)
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32697	argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium +1 ion
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32697	argininium +2 ion	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium(1+)
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32697	argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium +1 ion
http://purl.obolibrary.org/obo/CHEBI_32690	D-argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32697	argininium(2+)	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium(1+)
http://purl.obolibrary.org/obo/CHEBI_32657	D-asparaginium	http://purl.obolibrary.org/obo/CHEBI_36916	cation	http://purl.obolibrary.org/obo/CHEBI_28159	D-asparagine
