defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/CHEBI_61265	 0 ion	http://purl.obolibrary.org/obo/CHEBI_55367	deoxyribonucleotide residue	http://purl.obolibrary.org/obo/CHEBI_111511	 0 ion
http://purl.obolibrary.org/obo/CHEBI_61265	 0 ion	http://purl.obolibrary.org/obo/CHEBI_55367	deoxyribonucleotide residue	http://purl.obolibrary.org/obo/CHEBI_111511	(beta-D-glucopyranosyloxymethyl)deoxyuridine 5'-monophosphate
http://purl.obolibrary.org/obo/CHEBI_61265	(beta-D-glucopyranosyloxymethyl)deoxyuridine 5'-monophosphate residue	http://purl.obolibrary.org/obo/CHEBI_55367	deoxyribonucleotide residue	http://purl.obolibrary.org/obo/CHEBI_111511	 0 ion
http://purl.obolibrary.org/obo/CHEBI_61265	(beta-D-glucopyranosyloxymethyl)deoxyuridine 5'-monophosphate residue	http://purl.obolibrary.org/obo/CHEBI_55367	deoxyribonucleotide residue	http://purl.obolibrary.org/obo/CHEBI_111511	(beta-D-glucopyranosyloxymethyl)deoxyuridine 5'-monophosphate
http://purl.obolibrary.org/obo/CHEBI_29968	D-lysine residue	http://purl.obolibrary.org/obo/CHEBI_33710	alpha-amino-acid residue	http://purl.obolibrary.org/obo/CHEBI_16855	D-lysine
http://purl.obolibrary.org/obo/CHEBI_29970	D-lysinium residue	http://purl.obolibrary.org/obo/CHEBI_32579	lysinium residue	http://purl.obolibrary.org/obo/CHEBI_32557	D-lysinium +1 ion
http://purl.obolibrary.org/obo/CHEBI_29970	D-lysinium residue	http://purl.obolibrary.org/obo/CHEBI_32579	lysinium residue	http://purl.obolibrary.org/obo/CHEBI_32557	D-lysinium(1+)
http://purl.obolibrary.org/obo/CHEBI_83228	L-alpha-amino acid residue	http://purl.obolibrary.org/obo/CHEBI_33710	alpha-amino-acid residue	http://purl.obolibrary.org/obo/CHEBI_15705	L-alpha-amino acid
http://purl.obolibrary.org/obo/CHEBI_29969	L-lysinium residue	http://purl.obolibrary.org/obo/CHEBI_33710	alpha-amino-acid residue	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium +1 ion
http://purl.obolibrary.org/obo/CHEBI_29969	L-lysinium residue	http://purl.obolibrary.org/obo/CHEBI_33710	alpha-amino-acid residue	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)
http://purl.obolibrary.org/obo/CHEBI_73265	archaeosine residue	http://purl.obolibrary.org/obo/CHEBI_50320	nucleoside residue	http://purl.obolibrary.org/obo/CHEBI_73271	archaeosine
http://purl.obolibrary.org/obo/CHEBI_37838	carboacyl group	http://purl.obolibrary.org/obo/CHEBI_22221	acyl group	http://purl.obolibrary.org/obo/CHEBI_33575	carboxylic acid
http://purl.obolibrary.org/obo/CHEBI_48819	cyano group	http://purl.obolibrary.org/obo/CHEBI_24433	group	http://purl.obolibrary.org/obo/CHEBI_18407	hydrogen cyanide
http://purl.obolibrary.org/obo/CHEBI_32568	lysine residue	http://purl.obolibrary.org/obo/CHEBI_33710	alpha-amino-acid residue	http://purl.obolibrary.org/obo/CHEBI_25094	lysine
http://purl.obolibrary.org/obo/CHEBI_33247	organic group	http://purl.obolibrary.org/obo/CHEBI_24433	group	http://purl.obolibrary.org/obo/CHEBI_50860	organic molecular entity
