defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/CHEBI_133574	5-hydroxylysinium	http://purl.obolibrary.org/obo/CHEBI_60175	5-hydroxylysine
http://purl.obolibrary.org/obo/CHEBI_32436	D-alaninium	http://purl.obolibrary.org/obo/CHEBI_15570	D-alanine
http://purl.obolibrary.org/obo/CHEBI_32673	D-glutaminium	http://purl.obolibrary.org/obo/CHEBI_17061	D-glutamine
http://purl.obolibrary.org/obo/CHEBI_32495	D-phenylalaninium	http://purl.obolibrary.org/obo/CHEBI_16998	D-phenylalanine
http://purl.obolibrary.org/obo/CHEBI_32828	D-threoninium	http://purl.obolibrary.org/obo/CHEBI_16398	D-threonine
http://purl.obolibrary.org/obo/CHEBI_32775	D-tyrosinium	http://purl.obolibrary.org/obo/CHEBI_28479	D-tyrosine
http://purl.obolibrary.org/obo/CHEBI_32856	D-valinium	http://purl.obolibrary.org/obo/CHEBI_27477	D-valine
http://purl.obolibrary.org/obo/CHEBI_32432	L-alaninium	http://purl.obolibrary.org/obo/CHEBI_16977	L-alanine
http://purl.obolibrary.org/obo/CHEBI_32651	L-asparaginium	http://purl.obolibrary.org/obo/CHEBI_17196	L-asparagine
http://purl.obolibrary.org/obo/CHEBI_32605	L-isoleucinium	http://purl.obolibrary.org/obo/CHEBI_17191	L-isoleucine
http://purl.obolibrary.org/obo/CHEBI_32632	L-methioninium	http://purl.obolibrary.org/obo/CHEBI_16643	L-methionine
http://purl.obolibrary.org/obo/CHEBI_32864	L-prolinium	http://purl.obolibrary.org/obo/CHEBI_17203	L-proline
http://purl.obolibrary.org/obo/CHEBI_32837	L-serinium	http://purl.obolibrary.org/obo/CHEBI_17115	L-serine
http://purl.obolibrary.org/obo/CHEBI_32704	L-tryptophanium	http://purl.obolibrary.org/obo/CHEBI_16828	L-tryptophan
http://purl.obolibrary.org/obo/CHEBI_32852	L-valinium	http://purl.obolibrary.org/obo/CHEBI_16414	L-valine
http://purl.obolibrary.org/obo/CHEBI_32661	asparaginium	http://purl.obolibrary.org/obo/CHEBI_22653	asparagine
http://purl.obolibrary.org/obo/CHEBI_133775	dimethylargininium(1+)	http://purl.obolibrary.org/obo/CHEBI_86468	dimethylarginine
http://purl.obolibrary.org/obo/CHEBI_134344	ergothioneine +1 ion	http://purl.obolibrary.org/obo/CHEBI_4828	ergothioneine
http://purl.obolibrary.org/obo/CHEBI_134344	ergothioneine(1+)	http://purl.obolibrary.org/obo/CHEBI_4828	ergothioneine
http://purl.obolibrary.org/obo/CHEBI_32507	glycinium	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/CHEBI_32613	isoleucinium	http://purl.obolibrary.org/obo/CHEBI_24898	isoleucine
http://purl.obolibrary.org/obo/CHEBI_32628	leucinium	http://purl.obolibrary.org/obo/CHEBI_25017	leucine
http://purl.obolibrary.org/obo/CHEBI_32872	prolinium	http://purl.obolibrary.org/obo/CHEBI_26271	proline
http://purl.obolibrary.org/obo/CHEBI_32846	serinium	http://purl.obolibrary.org/obo/CHEBI_17822	serine
http://purl.obolibrary.org/obo/CHEBI_32833	threoninium	http://purl.obolibrary.org/obo/CHEBI_26986	threonine
