defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/CHEBI_71541		http://purl.obolibrary.org/obo/CHEBI_71560	
http://purl.obolibrary.org/obo/CHEBI_71542		http://purl.obolibrary.org/obo/CHEBI_71556	
http://purl.obolibrary.org/obo/CHEBI_62071	2-cis-abscisate	http://purl.obolibrary.org/obo/CHEBI_62431	abscisic acids
http://purl.obolibrary.org/obo/CHEBI_132917	2-isopropylmalate	http://purl.obolibrary.org/obo/CHEBI_28635	2-isopropylmalic acid
http://purl.obolibrary.org/obo/CHEBI_35179	2-oxo monocarboxylic acid anion	http://purl.obolibrary.org/obo/CHEBI_35910	2-oxo monocarboxylic acid
http://purl.obolibrary.org/obo/CHEBI_58165	3',5'-cyclic AMP -1 ion	http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP
http://purl.obolibrary.org/obo/CHEBI_58165	3',5'-cyclic AMP(1-)	http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP
http://purl.obolibrary.org/obo/CHEBI_57746	3',5'-cyclic GMP -1 ion	http://purl.obolibrary.org/obo/CHEBI_16356	3',5'-cyclic GMP
http://purl.obolibrary.org/obo/CHEBI_57746	3',5'-cyclic GMP(1-)	http://purl.obolibrary.org/obo/CHEBI_16356	3',5'-cyclic GMP
http://purl.obolibrary.org/obo/CHEBI_60308	3,3',5-triiodo-L-thyroninate	http://purl.obolibrary.org/obo/CHEBI_18258	3,3',5-triiodo-L-thyronine
http://purl.obolibrary.org/obo/CHEBI_62074	3-chloroacrylate	http://purl.obolibrary.org/obo/CHEBI_19982	3-chloroacrylic acid
http://purl.obolibrary.org/obo/CHEBI_84196	3-hydroxy fatty acid anion	http://purl.obolibrary.org/obo/CHEBI_59845	3-hydroxy fatty acid
http://purl.obolibrary.org/obo/CHEBI_63469	3-hydroxy-3-phenylpropionate	http://purl.obolibrary.org/obo/CHEBI_19929	3-hydroxy-3-phenylpropionic acid
http://purl.obolibrary.org/obo/CHEBI_62981	4-hydroxy-L-prolinate	http://purl.obolibrary.org/obo/CHEBI_18240	4-hydroxy-L-proline
http://purl.obolibrary.org/obo/CHEBI_62978	4-hydroxyprolinate	http://purl.obolibrary.org/obo/CHEBI_20392	4-hydroxyproline
http://purl.obolibrary.org/obo/CHEBI_63524	5-hydroxyectoinate	http://purl.obolibrary.org/obo/CHEBI_49432	5-hydroxyectoine
http://purl.obolibrary.org/obo/CHEBI_57547	CDP-N-methylethanolamine -1 ion	http://purl.obolibrary.org/obo/CHEBI_15868	CDP-N-methylethanolamine
http://purl.obolibrary.org/obo/CHEBI_57547	CDP-N-methylethanolamine(1-)	http://purl.obolibrary.org/obo/CHEBI_15868	CDP-N-methylethanolamine
http://purl.obolibrary.org/obo/CHEBI_32435	D-alaninate	http://purl.obolibrary.org/obo/CHEBI_15570	D-alanine
http://purl.obolibrary.org/obo/CHEBI_60895	D-alpha-amino acid anion	http://purl.obolibrary.org/obo/CHEBI_16733	D-alpha-amino acid
http://purl.obolibrary.org/obo/CHEBI_32688	D-argininate	http://purl.obolibrary.org/obo/CHEBI_15816	D-arginine
http://purl.obolibrary.org/obo/CHEBI_32656	D-asparaginate	http://purl.obolibrary.org/obo/CHEBI_28159	D-asparagine
http://purl.obolibrary.org/obo/CHEBI_57629	D-glucopyranose 1-phosphate -2 ion	http://purl.obolibrary.org/obo/CHEBI_16077	D-glucopyranose 1-phosphate
http://purl.obolibrary.org/obo/CHEBI_57629	D-glucopyranose 1-phosphate(2-)	http://purl.obolibrary.org/obo/CHEBI_16077	D-glucopyranose 1-phosphate
http://purl.obolibrary.org/obo/CHEBI_32672	D-glutaminate	http://purl.obolibrary.org/obo/CHEBI_17061	D-glutamine
http://purl.obolibrary.org/obo/CHEBI_32608	D-isoleucinate	http://purl.obolibrary.org/obo/CHEBI_27730	D-isoleucine
http://purl.obolibrary.org/obo/CHEBI_32623	D-leucinate	http://purl.obolibrary.org/obo/CHEBI_28225	D-leucine
http://purl.obolibrary.org/obo/CHEBI_32556	D-lysinate	http://purl.obolibrary.org/obo/CHEBI_16855	D-lysine
http://purl.obolibrary.org/obo/CHEBI_32637	D-methioninate	http://purl.obolibrary.org/obo/CHEBI_16867	D-methionine
http://purl.obolibrary.org/obo/CHEBI_32494	D-phenylalaninate	http://purl.obolibrary.org/obo/CHEBI_16998	D-phenylalanine
http://purl.obolibrary.org/obo/CHEBI_32867	D-prolinate	http://purl.obolibrary.org/obo/CHEBI_16313	D-proline
http://purl.obolibrary.org/obo/CHEBI_32840	D-serinate	http://purl.obolibrary.org/obo/CHEBI_16523	D-serine
http://purl.obolibrary.org/obo/CHEBI_32827	D-threoninate	http://purl.obolibrary.org/obo/CHEBI_16398	D-threonine
http://purl.obolibrary.org/obo/CHEBI_32716	D-tryptophanate	http://purl.obolibrary.org/obo/CHEBI_16296	D-tryptophan
http://purl.obolibrary.org/obo/CHEBI_32855	D-valinate	http://purl.obolibrary.org/obo/CHEBI_27477	D-valine
http://purl.obolibrary.org/obo/CHEBI_131858	HETE anion	http://purl.obolibrary.org/obo/CHEBI_36275	HETE
http://purl.obolibrary.org/obo/CHEBI_59720	HPETE anion	http://purl.obolibrary.org/obo/CHEBI_24644	HPETE
http://purl.obolibrary.org/obo/CHEBI_32431	L-alaninate	http://purl.obolibrary.org/obo/CHEBI_16977	L-alanine
http://purl.obolibrary.org/obo/CHEBI_59814	L-alpha-amino acid anion	http://purl.obolibrary.org/obo/CHEBI_15705	L-alpha-amino acid
http://purl.obolibrary.org/obo/CHEBI_32681	L-argininate	http://purl.obolibrary.org/obo/CHEBI_16467	L-arginine
http://purl.obolibrary.org/obo/CHEBI_58180	L-arogenate -1 ion	http://purl.obolibrary.org/obo/CHEBI_17530	L-arogenic acid
http://purl.obolibrary.org/obo/CHEBI_58180	L-arogenate(1-)	http://purl.obolibrary.org/obo/CHEBI_17530	L-arogenic acid
http://purl.obolibrary.org/obo/CHEBI_32650	L-asparaginate	http://purl.obolibrary.org/obo/CHEBI_17196	L-asparagine
