defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/CHEBI_33513	alkaline earth cation	http://purl.obolibrary.org/obo/CHEBI_22313	alkaline earth metal atom
http://purl.obolibrary.org/obo/CHEBI_39123	calcium cation	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom
http://purl.obolibrary.org/obo/CHEBI_24875	iron cation	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom
http://purl.obolibrary.org/obo/CHEBI_60252	lead cation	http://purl.obolibrary.org/obo/CHEBI_25016	lead atom
http://purl.obolibrary.org/obo/CHEBI_39127	magnesium cation	http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom
http://purl.obolibrary.org/obo/CHEBI_25155	manganese cation	http://purl.obolibrary.org/obo/CHEBI_18291	manganese atom
http://purl.obolibrary.org/obo/CHEBI_37239	molybdenum cation	http://purl.obolibrary.org/obo/CHEBI_28685	molybdenum atom
http://purl.obolibrary.org/obo/CHEBI_63526	platinum cation	http://purl.obolibrary.org/obo/CHEBI_33364	platinum
http://purl.obolibrary.org/obo/CHEBI_29103	potassium +1 ion	http://purl.obolibrary.org/obo/CHEBI_26216	potassium atom
http://purl.obolibrary.org/obo/CHEBI_29103	potassium(1+)	http://purl.obolibrary.org/obo/CHEBI_26216	potassium atom
http://purl.obolibrary.org/obo/CHEBI_63056	zinc cation	http://purl.obolibrary.org/obo/CHEBI_27363	zinc atom
