defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/GOCHE_67199	substance with AP-1 antagonist role	http://purl.obolibrary.org/obo/CHEBI_67199	AP-1 antagonist
http://purl.obolibrary.org/obo/GOCHE_76956	substance with Aspergillus metabolite role	http://purl.obolibrary.org/obo/CHEBI_76956	Aspergillus metabolite
http://purl.obolibrary.org/obo/GOCHE_70770	substance with Aurora kinase inhibitor role	http://purl.obolibrary.org/obo/CHEBI_70770	Aurora kinase inhibitor
http://purl.obolibrary.org/obo/GOCHE_75769	substance with B vitamin role	http://purl.obolibrary.org/obo/CHEBI_75769	B vitamin
http://purl.obolibrary.org/obo/GOCHE_140165	substance with Brassica napus metabolite role	http://purl.obolibrary.org/obo/CHEBI_140165	Brassica napus metabolite
http://purl.obolibrary.org/obo/GOCHE_39141	substance with Bronsted acid role	http://purl.obolibrary.org/obo/CHEBI_39141	Bronsted acid
http://purl.obolibrary.org/obo/GOCHE_39142	substance with Bronsted base role	http://purl.obolibrary.org/obo/CHEBI_39142	Bronsted base
http://purl.obolibrary.org/obo/GOCHE_78804	substance with Caenorhabditis elegans metabolite role	http://purl.obolibrary.org/obo/CHEBI_78804	Caenorhabditis elegans metabolite
http://purl.obolibrary.org/obo/GOCHE_38234	substance with DNA polymerase inhibitor role	http://purl.obolibrary.org/obo/CHEBI_38234	DNA polymerase inhibitor
http://purl.obolibrary.org/obo/GOCHE_59517	substance with DNA synthesis inhibitor role	http://purl.obolibrary.org/obo/CHEBI_59517	DNA synthesis inhibitor
http://purl.obolibrary.org/obo/GOCHE_83038	substance with Daphnia galeata metabolite role	http://purl.obolibrary.org/obo/CHEBI_83038	Daphnia galeata metabolite
http://purl.obolibrary.org/obo/GOCHE_83056	substance with Daphnia magna metabolite role	http://purl.obolibrary.org/obo/CHEBI_83056	Daphnia magna metabolite
http://purl.obolibrary.org/obo/GOCHE_83057	substance with Daphnia metabolite role	http://purl.obolibrary.org/obo/CHEBI_83057	Daphnia metabolite
http://purl.obolibrary.org/obo/GOCHE_83146	substance with Daphnia tenebrosa metabolite role	http://purl.obolibrary.org/obo/CHEBI_83146	Daphnia tenebrosa metabolite
http://purl.obolibrary.org/obo/GOCHE_76725	substance with EC 1.* (oxidoreductase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_76725	EC 1.* (oxidoreductase) inhibitor
http://purl.obolibrary.org/obo/GOCHE_76726	substance with EC 1.1.* (oxidoreductase acting on donor CH-OH group) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_76726	EC 1.1.* (oxidoreductase acting on donor CH-OH group) inhibitor
http://purl.obolibrary.org/obo/GOCHE_76835	substance with EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_76835	EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor
http://purl.obolibrary.org/obo/GOCHE_50269	substance with EC 1.1.1.1 (alcohol dehydrogenase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_50269	EC 1.1.1.1 (alcohol dehydrogenase) inhibitor
http://purl.obolibrary.org/obo/GOCHE_77108	substance with EC 1.1.1.141 [15-hydroxyprostaglandin dehydrogenase (NAD(+))] inhibitor role	http://purl.obolibrary.org/obo/CHEBI_77108	EC 1.1.1.141 [15-hydroxyprostaglandin dehydrogenase (NAD(+))] inhibitor
http://purl.obolibrary.org/obo/GOCHE_137626	substance with EC 1.1.1.146 (11beta-hydroxysteroid dehydrogenase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_137626	EC 1.1.1.146 (11beta-hydroxysteroid dehydrogenase) inhibitor
http://purl.obolibrary.org/obo/GOCHE_138390	substance with EC 1.1.1.159 (7alpha-hydroxysteroid dehydrogenase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_138390	EC 1.1.1.159 (7alpha-hydroxysteroid dehydrogenase) inhibitor
http://purl.obolibrary.org/obo/GOCHE_73136	substance with EC 1.1.1.184 [carbonyl reductase (NADPH)] inhibitor role	http://purl.obolibrary.org/obo/CHEBI_73136	EC 1.1.1.184 [carbonyl reductase (NADPH)] inhibitor
http://purl.obolibrary.org/obo/GOCHE_77425	substance with EC 1.1.1.188 (prostaglandin-F synthase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_77425	EC 1.1.1.188 (prostaglandin-F synthase) inhibitor
http://purl.obolibrary.org/obo/GOCHE_77119	substance with EC 1.1.1.189 (prostaglandin-E2 9-reductase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_77119	EC 1.1.1.189 (prostaglandin-E2 9-reductase) inhibitor
http://purl.obolibrary.org/obo/GOCHE_53746	substance with EC 1.1.1.205 (IMP dehydrogenase) inhibitor role	http://purl.obolibrary.org/obo/CHEBI_53746	EC 1.1.1.205 (IMP dehydrogenase) inhibitor
