defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate -1 ion	http://purl.obolibrary.org/obo/CHEBI_29993	L-aspartate -2 ion
http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate -1 ion	http://purl.obolibrary.org/obo/CHEBI_29993	L-aspartate(2-)
http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate(1-)	http://purl.obolibrary.org/obo/CHEBI_29993	L-aspartate -2 ion
http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate(1-)	http://purl.obolibrary.org/obo/CHEBI_29993	L-aspartate(2-)
http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate -1 ion	http://purl.obolibrary.org/obo/CHEBI_29988	L-glutamate -2 ion
http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate -1 ion	http://purl.obolibrary.org/obo/CHEBI_29988	L-glutamate(2-)
http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)	http://purl.obolibrary.org/obo/CHEBI_29988	L-glutamate -2 ion
http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)	http://purl.obolibrary.org/obo/CHEBI_29988	L-glutamate(2-)
http://purl.obolibrary.org/obo/CHEBI_29449	hydrogen azide	http://purl.obolibrary.org/obo/CHEBI_40910	azide anion
http://purl.obolibrary.org/obo/CHEBI_17883	hydrogen chloride	http://purl.obolibrary.org/obo/CHEBI_17996	chloride
http://purl.obolibrary.org/obo/CHEBI_18407	hydrogen cyanide	http://purl.obolibrary.org/obo/CHEBI_17514	cyanide
http://purl.obolibrary.org/obo/CHEBI_29228	hydrogen fluoride	http://purl.obolibrary.org/obo/CHEBI_17051	fluoride
http://purl.obolibrary.org/obo/CHEBI_43451	hydrogen iodide	http://purl.obolibrary.org/obo/CHEBI_16382	iodide
http://purl.obolibrary.org/obo/CHEBI_48107	nitric acid	http://purl.obolibrary.org/obo/CHEBI_17632	nitrate
http://purl.obolibrary.org/obo/CHEBI_25567	nitrous acid	http://purl.obolibrary.org/obo/CHEBI_16301	nitrite
