defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/CHEBI_36920	antimony oxoacid	http://purl.obolibrary.org/obo/CHEBI_30513	antimony atom
http://purl.obolibrary.org/obo/CHEBI_33407	arsenic oxoacid	http://purl.obolibrary.org/obo/CHEBI_27563	arsenic atom
http://purl.obolibrary.org/obo/CHEBI_33145	boron oxoacid	http://purl.obolibrary.org/obo/CHEBI_27560	boron atom
http://purl.obolibrary.org/obo/CHEBI_35605	carbon oxoacid	http://purl.obolibrary.org/obo/CHEBI_27594	carbon atom
http://purl.obolibrary.org/obo/CHEBI_33484	chalcogen oxoacid	http://purl.obolibrary.org/obo/CHEBI_33303	chalcogen
http://purl.obolibrary.org/obo/CHEBI_33426	chlorine oxoacid	http://purl.obolibrary.org/obo/CHEBI_23116	chlorine atom
http://purl.obolibrary.org/obo/CHEBI_33425	halogen oxoacid	http://purl.obolibrary.org/obo/CHEBI_24473	halogen
http://purl.obolibrary.org/obo/CHEBI_33455	nitrogen oxoacid	http://purl.obolibrary.org/obo/CHEBI_25555	nitrogen atom
http://purl.obolibrary.org/obo/CHEBI_33457	phosphorus oxoacid	http://purl.obolibrary.org/obo/CHEBI_28659	phosphorus atom
http://purl.obolibrary.org/obo/CHEBI_33408	pnictogen oxoacid	http://purl.obolibrary.org/obo/CHEBI_33300	pnictogen
http://purl.obolibrary.org/obo/CHEBI_33489	selenium oxoacid	http://purl.obolibrary.org/obo/CHEBI_27568	selenium atom
http://purl.obolibrary.org/obo/CHEBI_33328	silicon oxoacid	http://purl.obolibrary.org/obo/CHEBI_27573	silicon atom
http://purl.obolibrary.org/obo/CHEBI_33402	sulfur oxoacid	http://purl.obolibrary.org/obo/CHEBI_26833	sulfur atom
http://purl.obolibrary.org/obo/CHEBI_33519	tellurium oxoacid	http://purl.obolibrary.org/obo/CHEBI_30452	tellurium atom
