defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/DOID_0050710	3-Methylcrotonyl-CoA carboxylase deficiency	http://purl.obolibrary.org/obo/DOID_9252	amino acid metabolic disorder	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue
http://purl.obolibrary.org/obo/DOID_707	B-cell lymphoma	http://purl.obolibrary.org/obo/DOID_0060058	lymphoma	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/DOID_60003	Bartholin's gland cancer	http://purl.obolibrary.org/obo/DOID_162	cancer	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/DOID_60002	Bartholin's gland disease	http://purl.obolibrary.org/obo/DOID_4	disease	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/DOID_0050692	Brody myopathy	http://purl.obolibrary.org/obo/DOID_4	disease	http://purl.obolibrary.org/obo/UBERON_0001134	skeletal muscle tissue
http://purl.obolibrary.org/obo/DOID_11577	Cauda equina syndrome	http://purl.obolibrary.org/obo/DOID_225	syndrome	http://purl.obolibrary.org/obo/UBERON_0012337	cauda equina
http://purl.obolibrary.org/obo/DOID_1925	Coffin-Siris syndrome	http://purl.obolibrary.org/obo/DOID_225	syndrome	http://purl.obolibrary.org/obo/UBERON_0006052	digit 5
http://purl.obolibrary.org/obo/DOID_7635	Gasserian ganglion meningioma	http://purl.obolibrary.org/obo/DOID_3565	meningioma	http://purl.obolibrary.org/obo/UBERON_3011045	gasserian ganglion
http://purl.obolibrary.org/obo/DOID_10426	Klippel-Feil syndrome	http://purl.obolibrary.org/obo/DOID_0080015	physical disorder	http://purl.obolibrary.org/obo/UBERON_0001130	vertebral column
http://purl.obolibrary.org/obo/DOID_4558	Ludwig's angina	http://purl.obolibrary.org/obo/DOID_3488	cellulitis	http://purl.obolibrary.org/obo/UBERON_0003679	mouth floor
http://purl.obolibrary.org/obo/DOID_9063	Ritter's disease	http://purl.obolibrary.org/obo/DOID_0050339	commensal bacterial infectious disease	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/DOID_5602	T-cell adult acute lymphocytic leukemia	http://purl.obolibrary.org/obo/DOID_5604	adult acute lymphocytic leukemia	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/DOID_715	T-cell leukemia	http://purl.obolibrary.org/obo/DOID_1240	leukemia	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/DOID_2508	Takayasu's arteritis	http://purl.obolibrary.org/obo/DOID_225	syndrome	http://purl.obolibrary.org/obo/UBERON_0004363	pharyngeal arch artery
http://purl.obolibrary.org/obo/DOID_14021	Tietze's syndrome	http://purl.obolibrary.org/obo/DOID_225	syndrome	http://purl.obolibrary.org/obo/UBERON_0002293	costochondral joint
http://purl.obolibrary.org/obo/DOID_12491	Vagus nerve disease	http://purl.obolibrary.org/obo/DOID_4	disease	http://purl.obolibrary.org/obo/UBERON_0001759	vagus nerve
http://purl.obolibrary.org/obo/DOID_8937	Waldeyer's ring cancer	http://purl.obolibrary.org/obo/DOID_162	cancer	http://purl.obolibrary.org/obo/UBERON_0001735	tonsillar ring
