defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/DOID_60003	Bartholin's gland cancer	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/DOID_8937	Waldeyer's ring cancer	http://purl.obolibrary.org/obo/UBERON_0001735	tonsillar ring
http://purl.obolibrary.org/obo/DOID_660	adrenal cortex cancer	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/DOID_3953	adrenal gland cancer	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/DOID_5719	adrenal medulla cancer	http://purl.obolibrary.org/obo/UBERON_0001236	adrenal medulla
http://purl.obolibrary.org/obo/DOID_10020	ampulla of Vater cancer	http://purl.obolibrary.org/obo/UBERON_0004913	hepatopancreatic ampulla
http://purl.obolibrary.org/obo/DOID_0050688	anal canal cancer	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
http://purl.obolibrary.org/obo/DOID_14110	anus cancer	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/DOID_4934	apocrine sweat gland cancer	http://purl.obolibrary.org/obo/UBERON_0000382	apocrine sweat gland
http://purl.obolibrary.org/obo/DOID_11239	appendix cancer	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/DOID_8663	aryepiglottic fold cancer	http://purl.obolibrary.org/obo/UBERON_0014385	aryepiglottic fold
http://purl.obolibrary.org/obo/DOID_218	ascending colon cancer	http://purl.obolibrary.org/obo/UBERON_0001156	ascending colon
http://purl.obolibrary.org/obo/DOID_833	auditory system cancer	http://purl.obolibrary.org/obo/UBERON_0016490	auditory system
http://purl.obolibrary.org/obo/DOID_4606	bile duct cancer	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/DOID_11809	bladder neck cancer	http://purl.obolibrary.org/obo/UBERON_0001258	neck of urinary bladder
http://purl.obolibrary.org/obo/DOID_11813	bladder trigone cancer	http://purl.obolibrary.org/obo/UBERON_0001257	trigone of urinary bladder
http://purl.obolibrary.org/obo/DOID_184	bone cancer	http://purl.obolibrary.org/obo/UBERON_0001474	bone element
http://purl.obolibrary.org/obo/DOID_4960	bone marrow cancer	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
http://purl.obolibrary.org/obo/DOID_1319	brain cancer	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/DOID_4203	brain stem cancer	http://purl.obolibrary.org/obo/UBERON_0002298	brainstem
http://purl.obolibrary.org/obo/DOID_1612	breast cancer	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/DOID_10744	broad ligament malignant neoplasm	http://purl.obolibrary.org/obo/UBERON_0012332	broad ligament of uterus
http://purl.obolibrary.org/obo/DOID_10548	cardia cancer	http://purl.obolibrary.org/obo/UBERON_0001162	cardia of stomach
http://purl.obolibrary.org/obo/DOID_176	cardiovascular cancer	http://purl.obolibrary.org/obo/UBERON_0004535	cardiovascular system
http://purl.obolibrary.org/obo/DOID_8731	carotid body cancer	http://purl.obolibrary.org/obo/UBERON_0001629	carotid body
http://purl.obolibrary.org/obo/DOID_0060102	cartilage cancer	http://purl.obolibrary.org/obo/UBERON_0002418	cartilage tissue
http://purl.obolibrary.org/obo/DOID_1521	cecum cancer	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
http://purl.obolibrary.org/obo/DOID_3620	central nervous system cancer	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/DOID_4205	cerebellum cancer	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/DOID_3541	cerebral ventricle cancer	http://purl.obolibrary.org/obo/UBERON_0004086	brain ventricle
http://purl.obolibrary.org/obo/DOID_368	cerebrum cancer	http://purl.obolibrary.org/obo/UBERON_0001893	telencephalon
http://purl.obolibrary.org/obo/DOID_4362	cervical cancer	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
http://purl.obolibrary.org/obo/DOID_8702	cheek mucosa cancer	http://purl.obolibrary.org/obo/UBERON_0006956	buccal mucosa
http://purl.obolibrary.org/obo/DOID_6758	chest wall lymphoma	http://purl.obolibrary.org/obo/UBERON_0016435	chest wall
http://purl.obolibrary.org/obo/DOID_12759	choroid cancer	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/DOID_3540	choroid plexus cancer	http://purl.obolibrary.org/obo/UBERON_0001886	choroid plexus
http://purl.obolibrary.org/obo/DOID_4352	ciliary body cancer	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/DOID_2401	clitoris cancer	http://purl.obolibrary.org/obo/UBERON_0002411	clitoris
http://purl.obolibrary.org/obo/DOID_219	colon cancer	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/DOID_5467	conjunctival cancer	http://purl.obolibrary.org/obo/UBERON_0001811	conjunctiva
http://purl.obolibrary.org/obo/DOID_201	connective tissue cancer	http://purl.obolibrary.org/obo/UBERON_0002384	connective tissue
http://purl.obolibrary.org/obo/DOID_6199	cornea cancer	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/DOID_338	cranial nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001785	cranial nerve
http://purl.obolibrary.org/obo/DOID_12190	descending colon cancer	http://purl.obolibrary.org/obo/UBERON_0001158	descending colon
http://purl.obolibrary.org/obo/DOID_10021	duodenum cancer	http://purl.obolibrary.org/obo/UBERON_0002114	duodenum
http://purl.obolibrary.org/obo/DOID_4921	eccrine sweat gland cancer	http://purl.obolibrary.org/obo/UBERON_0000423	eccrine sweat gland
http://purl.obolibrary.org/obo/DOID_5877	endocardium cancer	http://purl.obolibrary.org/obo/UBERON_0002165	endocardium
http://purl.obolibrary.org/obo/DOID_170	endocrine gland cancer	http://purl.obolibrary.org/obo/UBERON_0002368	endocrine gland
http://purl.obolibrary.org/obo/DOID_1380	endometrial cancer	http://purl.obolibrary.org/obo/UBERON_0001295	endometrium
http://purl.obolibrary.org/obo/DOID_4699	epicardium cancer	http://purl.obolibrary.org/obo/UBERON_0002348	epicardium
http://purl.obolibrary.org/obo/DOID_10366	epididymis cancer	http://purl.obolibrary.org/obo/UBERON_0001301	epididymis
http://purl.obolibrary.org/obo/DOID_8133	epiglottis cancer	http://purl.obolibrary.org/obo/UBERON_0000388	epiglottis
http://purl.obolibrary.org/obo/DOID_5041	esophageal cancer	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/DOID_1363	ethmoid sinus cancer	http://purl.obolibrary.org/obo/UBERON_0002453	ethmoid sinus
http://purl.obolibrary.org/obo/DOID_5665	external ear cancer	http://purl.obolibrary.org/obo/UBERON_0001691	external ear
