defined_class	defined_class_label	v0	v0_label	v1	v1_label	v2	v2_label
http://purl.obolibrary.org/obo/FOODON_00001184	algal food product	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_03411301	algae (food source)
http://purl.obolibrary.org/obo/FOODON_00001184	algal food product	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_03411301	algae (food source)
http://purl.obolibrary.org/obo/FOODON_00001280	chocolate food product	http://purl.obolibrary.org/obo/FOODON_00001149	confectionery food product	http://purl.obolibrary.org/obo/FOODON_00001215	cacao food product	http://purl.obolibrary.org/obo/FOODON_03316704	cocoa mass
http://purl.obolibrary.org/obo/FOODON_00001280	chocolate food product	http://purl.obolibrary.org/obo/FOODON_00001215	cacao food product	http://purl.obolibrary.org/obo/FOODON_00001149	confectionery food product	http://purl.obolibrary.org/obo/FOODON_03316704	cocoa mass
http://purl.obolibrary.org/obo/FOODON_00001140	fruit juice food product	http://purl.obolibrary.org/obo/FOODON_00001057	plant fruit food product	http://purl.obolibrary.org/obo/FOODON_00001253	plant derived beverage	http://purl.obolibrary.org/obo/FOODON_03420229	fruit, peel removed, core, pit or seed removed
http://purl.obolibrary.org/obo/FOODON_00001140	fruit juice food product	http://purl.obolibrary.org/obo/FOODON_00001253	plant derived beverage	http://purl.obolibrary.org/obo/FOODON_00001057	plant fruit food product	http://purl.obolibrary.org/obo/FOODON_03420229	fruit, peel removed, core, pit or seed removed
http://purl.obolibrary.org/obo/FOODON_00001143	fungal food product	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_03411261	fungus (food source)
http://purl.obolibrary.org/obo/FOODON_00001143	fungal food product	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_03411261	fungus (food source)
http://purl.obolibrary.org/obo/FOODON_00001928	grape vinegar food product	http://purl.obolibrary.org/obo/FOODON_00001073	vinegar food product	http://purl.obolibrary.org/obo/FOODON_00001170	grape fruit food product	http://purl.obolibrary.org/obo/FOODON_03301014	grape wine
http://purl.obolibrary.org/obo/FOODON_00001928	grape vinegar food product	http://purl.obolibrary.org/obo/FOODON_00001170	grape fruit food product	http://purl.obolibrary.org/obo/FOODON_00001073	vinegar food product	http://purl.obolibrary.org/obo/FOODON_03301014	grape wine
http://purl.obolibrary.org/obo/FOODON_00001176	invertebrate animal food product	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_00002452	invertebrate (food source)
http://purl.obolibrary.org/obo/FOODON_00001176	invertebrate animal food product	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_00002452	invertebrate (food source)
http://purl.obolibrary.org/obo/FOODON_00001145	microbial food product	http://purl.obolibrary.org/obo/FOODON_00002381	food product by organism	http://purl.obolibrary.org/obo/FOODON_00002403	food material	http://purl.obolibrary.org/obo/FOODON_03412846	bacteria (food source)
