defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FOODON_00001197	bambara groundnut food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03413418	bambara groundnut plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001199	chickpea food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411172	garbanzo bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001200	cowpea food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411200	cowpea plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001198	dry broad beans food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411367	broad bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001194	dry peas food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411338	pea plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001208	hyacinth bean food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411725	hyacinth bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001207	jack bean food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03413400	jack-bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001195	lentil food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411268	lentil plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001206	lupin seed food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411701	lupine bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001196	pigeon pea food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03412010	pigeon pea plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001205	velvet bean food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03413403	velvet bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001203	vetch seed food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03412070	vetch plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001202	winged bean food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03411726	goa bean plant (food source)
http://purl.obolibrary.org/obo/FOODON_00001204	yam bean food product	http://purl.obolibrary.org/obo/FOODON_00001209	pulse food product	http://purl.obolibrary.org/obo/FOODON_03414254	yam bean plant (food source)
