defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FBbt_00007228	GABAergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0061534	gamma-aminobutyric acid secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00111644	Johnston organ neuron activated by antennal displacement	http://purl.obolibrary.org/obo/FBbt_00100000	Johnston organ neuron	http://purl.obolibrary.org/obo/GO_0007625	grooming behavior
http://purl.obolibrary.org/obo/FBbt_00047381	adult GABAergic doublesex AbN (female) neuron	http://purl.obolibrary.org/obo/FBbt_00047366	adult doublesex AbN (female) neuron	http://purl.obolibrary.org/obo/GO_0061534	gamma-aminobutyric acid secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00047382	adult GABAergic doublesex AbN (male) neuron	http://purl.obolibrary.org/obo/FBbt_00047365	adult doublesex AbN (male) neuron	http://purl.obolibrary.org/obo/GO_0061534	gamma-aminobutyric acid secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00047379	adult glutamatergic doublesex AbN (female) neuron	http://purl.obolibrary.org/obo/FBbt_00047366	adult doublesex AbN (female) neuron	http://purl.obolibrary.org/obo/GO_0061535	glutamate secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00047380	adult glutamatergic doublesex AbN (male) neuron	http://purl.obolibrary.org/obo/FBbt_00047365	adult doublesex AbN (male) neuron	http://purl.obolibrary.org/obo/GO_0061535	glutamate secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00007368	aminergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0061532	primary amine secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00007686	auditory sense organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0050910	detection of mechanical stimulus involved in sensory perception of sound
http://purl.obolibrary.org/obo/FBbt_00007684	auditory sensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0050910	detection of mechanical stimulus involved in sensory perception of sound
http://purl.obolibrary.org/obo/FBbt_00007685	auditory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound
http://purl.obolibrary.org/obo/FBbt_00100045	carbon dioxide sensitive neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0003031	detection of carbon dioxide
http://purl.obolibrary.org/obo/FBbt_00005922	chemosensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0050907	detection of chemical stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005157	chemosensory sensory organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0050907	detection of chemical stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00007689	chemosensory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0007606	sensory perception of chemical stimulus
http://purl.obolibrary.org/obo/FBbt_00007173	cholinergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0014055	acetylcholine secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00007234	compound sense organ	http://purl.obolibrary.org/obo/FBbt_00007230	compound cell cluster organ	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005131	dopaminergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0061527	dopamine secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00007294	endocrine cell	http://purl.obolibrary.org/obo/FBbt_00007002	cell	http://purl.obolibrary.org/obo/GO_0060986	endocrine hormone secretion
http://purl.obolibrary.org/obo/FBbt_00007436	endocrine neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0060986	endocrine hormone secretion
http://purl.obolibrary.org/obo/FBbt_00007435	endocrine system component	http://purl.obolibrary.org/obo/FBbt_00007016	material anatomical entity	http://purl.obolibrary.org/obo/GO_0060986	endocrine hormone secretion
http://purl.obolibrary.org/obo/FBbt_00100317	gland	http://purl.obolibrary.org/obo/FBbt_00100313	multicellular structure	http://purl.obolibrary.org/obo/GO_0046903	secretion
http://purl.obolibrary.org/obo/FBbt_00100291	glutamatergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0061535	glutamate secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00100003	gravity sensitive Johnston organ neuron	http://purl.obolibrary.org/obo/FBbt_00100012	Johnston organ neuron tonically activated by arista deflection	http://purl.obolibrary.org/obo/GO_0048060	negative gravitaxis
http://purl.obolibrary.org/obo/FBbt_00005927	gustatory receptor neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0050912	detection of chemical stimulus involved in sensory perception of taste
http://purl.obolibrary.org/obo/FBbt_00005159	gustatory sensory organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0050912	detection of chemical stimulus involved in sensory perception of taste
http://purl.obolibrary.org/obo/FBbt_00007690	gustatory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0050909	sensory perception of taste
http://purl.obolibrary.org/obo/FBbt_00007367	histaminergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0061538	histamine secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00005161	hygrosensitive sensory organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0098512	detection of humidity stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005923	hygrosensory neuron	http://purl.obolibrary.org/obo/FBbt_00005124	sensory neuron	http://purl.obolibrary.org/obo/GO_0098512	detection of humidity stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00110660	hygrosensory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0098509	sensory perception of humidity
http://purl.obolibrary.org/obo/FBbt_00005181	mechanosensory chaeta	http://purl.obolibrary.org/obo/FBbt_00005177	chaeta	http://purl.obolibrary.org/obo/GO_0050974	detection of mechanical stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005919	mechanosensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0050974	detection of mechanical stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005156	mechanosensory sensory organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0050974	detection of mechanical stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00007687	mechanosensory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0050954	sensory perception of mechanical stimulus
http://purl.obolibrary.org/obo/FBbt_00005130	neurosecretory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0046879	hormone secretion
http://purl.obolibrary.org/obo/FBbt_00007364	octopaminergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0061540	octopamine secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00005926	olfactory receptor neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0050911	detection of chemical stimulus involved in sensory perception of smell
http://purl.obolibrary.org/obo/FBbt_00005158	olfactory sensory organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0050911	detection of chemical stimulus involved in sensory perception of smell
http://purl.obolibrary.org/obo/FBbt_00007688	olfactory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0007608	sensory perception of smell
http://purl.obolibrary.org/obo/FBbt_00004101	peptidergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0002790	peptide secretion
http://purl.obolibrary.org/obo/FBbt_00005162	photoreceptor	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/GO_0050962	detection of light stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/FBbt_00100313	multicellular structure	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00007152	sensillum	http://purl.obolibrary.org/obo/FBbt_00007229	cell cluster organ	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00005124	sensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00007692	sensory system	http://purl.obolibrary.org/obo/FBbt_00007278	non-connected functional system	http://purl.obolibrary.org/obo/GO_0007600	sensory perception
http://purl.obolibrary.org/obo/FBbt_00005133	serotonergic neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/GO_0060096	serotonin secretion, neurotransmission
http://purl.obolibrary.org/obo/FBbt_00100360	serotonergic thoracic neuron	http://purl.obolibrary.org/obo/FBbt_00001983	thoracic neuron	http://purl.obolibrary.org/obo/GO_0060096	serotonin secretion, neurotransmission
