defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FBbt_00001538	2-2M	http://purl.obolibrary.org/obo/FBbt_00007675	embryonic/larval motor neuron	http://purl.obolibrary.org/obo/FBbt_00001385	neuroblast NB2-2
http://purl.obolibrary.org/obo/FBbt_00001558	7-1M	http://purl.obolibrary.org/obo/FBbt_00007675	embryonic/larval motor neuron	http://purl.obolibrary.org/obo/FBbt_00001380	neuroblast NB7-1
http://purl.obolibrary.org/obo/FBbt_00100636	BAla1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00067348	neuroblast ALv1
http://purl.obolibrary.org/obo/FBbt_00100657	BAla2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100558	neuroblast BAla2
http://purl.obolibrary.org/obo/FBbt_00100658	BAla3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00050118	neuroblast VESa1
http://purl.obolibrary.org/obo/FBbt_00100659	BAla4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100560	neuroblast BAla4
http://purl.obolibrary.org/obo/FBbt_00100660	BAlc1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00067347	neuroblast ALl1
http://purl.obolibrary.org/obo/FBbt_00100662	BAlp1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100563	neuroblast BAlp1
http://purl.obolibrary.org/obo/FBbt_00100663	BAlp2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100564	neuroblast BAlp2
http://purl.obolibrary.org/obo/FBbt_00100664	BAlp3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100565	neuroblast BAlp3
http://purl.obolibrary.org/obo/FBbt_00100655	BAmas1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100555	neuroblast BAmas1
http://purl.obolibrary.org/obo/FBbt_00100656	BAmas2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100556	neuroblast BAmas2
http://purl.obolibrary.org/obo/FBbt_00100651	BAmd1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100551	neuroblast BAmd1
http://purl.obolibrary.org/obo/FBbt_00100736	BAmd2 neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100735	neuroblast BAmd2
http://purl.obolibrary.org/obo/FBbt_00100652	BAmv1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00050166	neuroblast LALv1
http://purl.obolibrary.org/obo/FBbt_00100653	BAmv2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100553	neuroblast BAmv2
http://purl.obolibrary.org/obo/FBbt_00100654	BAmv3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00067346	neuroblast ALad1
http://purl.obolibrary.org/obo/FBbt_00100712	BLAd1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100614	neuroblast BLAd1
http://purl.obolibrary.org/obo/FBbt_00100713	BLAd2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100615	neuroblast BLAd2
http://purl.obolibrary.org/obo/FBbt_00100714	BLAd3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100616	neuroblast BLAd3
http://purl.obolibrary.org/obo/FBbt_00100715	BLAd4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100617	neuroblast BLAd4
http://purl.obolibrary.org/obo/FBbt_00100716	BLAl lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100618	neuroblast BLAl
http://purl.obolibrary.org/obo/FBbt_00100710	BLAv1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100612	neuroblast BLAv1
http://purl.obolibrary.org/obo/FBbt_00100711	BLAv2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100613	neuroblast BLAv2
http://purl.obolibrary.org/obo/FBbt_00100717	BLAvm lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100619	neuroblast BLAvm
http://purl.obolibrary.org/obo/FBbt_00100718	BLD1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100620	neuroblast BLD1
http://purl.obolibrary.org/obo/FBbt_00100719	BLD2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100621	neuroblast BLD2
http://purl.obolibrary.org/obo/FBbt_00100720	BLD3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100622	neuroblast BLD3
http://purl.obolibrary.org/obo/FBbt_00100721	BLD4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100623	neuroblast BLD4
