defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FBbt_00047926	Kenyon cell of main calyx	http://purl.obolibrary.org/obo/FBbt_00003686	Kenyon cell	http://purl.obolibrary.org/obo/FBbt_00003685	mushroom body calyx
http://purl.obolibrary.org/obo/FBbt_00048015	adult Ir56d neuron of labellar taste bristle	http://purl.obolibrary.org/obo/FBbt_00048013	adult ionotropic receptor neuron Ir56d	http://purl.obolibrary.org/obo/FBbt_00004162	labellar taste bristle
http://purl.obolibrary.org/obo/FBbt_00048014	adult Ir56d neuron of labellar taste peg	http://purl.obolibrary.org/obo/FBbt_00048013	adult ionotropic receptor neuron Ir56d	http://purl.obolibrary.org/obo/FBbt_00004163	labellar taste peg
http://purl.obolibrary.org/obo/FBbt_00111661	adult antennal mechanosensory and motor center projection neuron	http://purl.obolibrary.org/obo/FBbt_00007392	projection neuron	http://purl.obolibrary.org/obo/FBbt_00003982	antennal mechanosensory and motor center
http://purl.obolibrary.org/obo/FBbt_00007422	antennal lobe projection neuron	http://purl.obolibrary.org/obo/FBbt_00007392	projection neuron	http://purl.obolibrary.org/obo/FBbt_00003924	antennal lobe
http://purl.obolibrary.org/obo/FBbt_00110119	antennal mechanosensory and motor center A projection neuron	http://purl.obolibrary.org/obo/FBbt_00007392	projection neuron	http://purl.obolibrary.org/obo/FBbt_00100015	antennal mechanosensory and motor center zone A
http://purl.obolibrary.org/obo/FBbt_00110113	antennal mechanosensory and motor center B projection neuron	http://purl.obolibrary.org/obo/FBbt_00007392	projection neuron	http://purl.obolibrary.org/obo/FBbt_00100016	antennal mechanosensory and motor center zone B
http://purl.obolibrary.org/obo/FBbt_00048154	broad bitter-sensing neuron of the labellum S-a	http://purl.obolibrary.org/obo/FBbt_00048152	bitter-sensing neuron of the labellum	http://purl.obolibrary.org/obo/FBbt_00048161	broad bitter-sensitive labellar taste bristle S-a
http://purl.obolibrary.org/obo/FBbt_00048153	broad bitter-sensing neuron of the labellum S-b	http://purl.obolibrary.org/obo/FBbt_00048152	bitter-sensing neuron of the labellum	http://purl.obolibrary.org/obo/FBbt_00048162	broad bitter-sensitive labellar taste bristle S-b
http://purl.obolibrary.org/obo/FBbt_00110885	dorsal cibarial sense organ neuron of anterior sensillum	http://purl.obolibrary.org/obo/FBbt_00004022	dorsal cibarial sense organ neuron	http://purl.obolibrary.org/obo/FBbt_00004142	anterior sensillum of dorsal cibarial sense organ
