defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FBbt_00002239	A1-7 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00002255	A1-7 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00002247	A1-7 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00047132	DH44 neuron of pars intercerebralis	http://purl.obolibrary.org/obo/FBbt_00047126	DH44 neuron	http://purl.obolibrary.org/obo/FBbt_00005802	pars intercerebralis
http://purl.obolibrary.org/obo/FBbt_00100000	Johnston organ neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00004178	Johnston organ
http://purl.obolibrary.org/obo/FBbt_00047502	abdominal 1 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00002240	abdominal 1 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00002256	abdominal 1 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00002248	abdominal 1 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047503	abdominal 2 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111034	larval abdominal 2 neuromere
http://purl.obolibrary.org/obo/FBbt_00002241	abdominal 2 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111034	larval abdominal 2 neuromere
http://purl.obolibrary.org/obo/FBbt_00002257	abdominal 2 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111034	larval abdominal 2 neuromere
http://purl.obolibrary.org/obo/FBbt_00002249	abdominal 2 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111034	larval abdominal 2 neuromere
http://purl.obolibrary.org/obo/FBbt_00047504	abdominal 3 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111035	larval abdominal 3 neuromere
http://purl.obolibrary.org/obo/FBbt_00002242	abdominal 3 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111035	larval abdominal 3 neuromere
http://purl.obolibrary.org/obo/FBbt_00002258	abdominal 3 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111035	larval abdominal 3 neuromere
http://purl.obolibrary.org/obo/FBbt_00002250	abdominal 3 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111035	larval abdominal 3 neuromere
http://purl.obolibrary.org/obo/FBbt_00047505	abdominal 4 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111036	larval abdominal 4 neuromere
http://purl.obolibrary.org/obo/FBbt_00002243	abdominal 4 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111036	larval abdominal 4 neuromere
http://purl.obolibrary.org/obo/FBbt_00002259	abdominal 4 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111036	larval abdominal 4 neuromere
http://purl.obolibrary.org/obo/FBbt_00002251	abdominal 4 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111036	larval abdominal 4 neuromere
http://purl.obolibrary.org/obo/FBbt_00047506	abdominal 5 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111037	larval abdominal 5 neuromere
http://purl.obolibrary.org/obo/FBbt_00002244	abdominal 5 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111037	larval abdominal 5 neuromere
http://purl.obolibrary.org/obo/FBbt_00002260	abdominal 5 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111037	larval abdominal 5 neuromere
http://purl.obolibrary.org/obo/FBbt_00002252	abdominal 5 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111037	larval abdominal 5 neuromere
http://purl.obolibrary.org/obo/FBbt_00047507	abdominal 6 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111038	larval abdominal 6 neuromere
http://purl.obolibrary.org/obo/FBbt_00002245	abdominal 6 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111038	larval abdominal 6 neuromere
http://purl.obolibrary.org/obo/FBbt_00002261	abdominal 6 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111038	larval abdominal 6 neuromere
http://purl.obolibrary.org/obo/FBbt_00002253	abdominal 6 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111038	larval abdominal 6 neuromere
http://purl.obolibrary.org/obo/FBbt_00047508	abdominal 7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron	http://purl.obolibrary.org/obo/FBbt_00111039	larval abdominal 7 neuromere
http://purl.obolibrary.org/obo/FBbt_00002246	abdominal 7 dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110295	dorsal VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111039	larval abdominal 7 neuromere
http://purl.obolibrary.org/obo/FBbt_00002262	abdominal 7 lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110308	lateral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111039	larval abdominal 7 neuromere
http://purl.obolibrary.org/obo/FBbt_00002254	abdominal 7 ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00110297	ventral VUM motor neuron	http://purl.obolibrary.org/obo/FBbt_00111039	larval abdominal 7 neuromere
http://purl.obolibrary.org/obo/FBbt_00047127	adult DH44 neuron of pars intercerebralis	http://purl.obolibrary.org/obo/FBbt_00047126	DH44 neuron	http://purl.obolibrary.org/obo/FBbt_00003700	adult pars intercerebralis
http://purl.obolibrary.org/obo/FBbt_00047135	adult DH44 neuron of thoracico-abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00047126	DH44 neuron	http://purl.obolibrary.org/obo/FBbt_00004052	thoracico-abdominal ganglion
http://purl.obolibrary.org/obo/FBbt_00047683	larval A00c-a3 neuron	http://purl.obolibrary.org/obo/FBbt_00047682	larval A00c neuron	http://purl.obolibrary.org/obo/FBbt_00111035	larval abdominal 3 neuromere
http://purl.obolibrary.org/obo/FBbt_00111233	larval A00c-a4 neuron	http://purl.obolibrary.org/obo/FBbt_00047682	larval A00c neuron	http://purl.obolibrary.org/obo/FBbt_00111036	larval abdominal 4 neuromere
http://purl.obolibrary.org/obo/FBbt_00111234	larval A00c-a5 neuron	http://purl.obolibrary.org/obo/FBbt_00047682	larval A00c neuron	http://purl.obolibrary.org/obo/FBbt_00111037	larval abdominal 5 neuromere
http://purl.obolibrary.org/obo/FBbt_00111235	larval A00c-a6 neuron	http://purl.obolibrary.org/obo/FBbt_00047682	larval A00c neuron	http://purl.obolibrary.org/obo/FBbt_00111038	larval abdominal 6 neuromere
http://purl.obolibrary.org/obo/FBbt_00047128	larval DH44 neuron of pars intercerebralis	http://purl.obolibrary.org/obo/FBbt_00047126	DH44 neuron	http://purl.obolibrary.org/obo/FBbt_00111670	larval pars intercerebralis
http://purl.obolibrary.org/obo/FBbt_00047134	larval DH44 neuron of ventral nerve cord	http://purl.obolibrary.org/obo/FBbt_00047126	DH44 neuron	http://purl.obolibrary.org/obo/FBbt_00001102	ventral nerve cord
http://purl.obolibrary.org/obo/FBbt_00047847	larval abdominal 1 A01d-3 neuron	http://purl.obolibrary.org/obo/FBbt_00047846	larval A01d-3 neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047770	larval abdominal 1 A02m neuron	http://purl.obolibrary.org/obo/FBbt_00111248	larval A02m neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047701	larval abdominal 1 A02n neuron	http://purl.obolibrary.org/obo/FBbt_00111247	larval A02n neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047801	larval abdominal 1 A03a5 neuron	http://purl.obolibrary.org/obo/FBbt_00047800	larval A03a5 neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047772	larval abdominal 1 A03o neuron	http://purl.obolibrary.org/obo/FBbt_00111250	larval A03o neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047774	larval abdominal 1 A05e neuron	http://purl.obolibrary.org/obo/FBbt_00111251	larval A05e neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047776	larval abdominal 1 A05q neuron	http://purl.obolibrary.org/obo/FBbt_00111231	larval A05q neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047777	larval abdominal 1 A08d neuron	http://purl.obolibrary.org/obo/FBbt_00111244	larval A08d neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047779	larval abdominal 1 A08m neuron	http://purl.obolibrary.org/obo/FBbt_00111252	larval A08m neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047780	larval abdominal 1 A08x neuron	http://purl.obolibrary.org/obo/FBbt_00111258	larval A08x neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047781	larval abdominal 1 A08y neuron	http://purl.obolibrary.org/obo/FBbt_00111259	larval A08y neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047782	larval abdominal 1 A10a neuron	http://purl.obolibrary.org/obo/FBbt_00111253	larval A10a neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047786	larval abdominal 1 A12m neuron	http://purl.obolibrary.org/obo/FBbt_00111256	larval A12m neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047787	larval abdominal 1 A12q neuron	http://purl.obolibrary.org/obo/FBbt_00111245	larval A12q neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047788	larval abdominal 1 A19c neuron	http://purl.obolibrary.org/obo/FBbt_00111257	larval A19c neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047789	larval abdominal 1 A23g neuron	http://purl.obolibrary.org/obo/FBbt_00111232	larval A23g neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
http://purl.obolibrary.org/obo/FBbt_00047845	larval abdominal 1 A27k neuron	http://purl.obolibrary.org/obo/FBbt_00111683	larval A27k neuron	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere
