defined_class	defined_class_label	v0	v0_label	v1	v1_label	v2	v2_label
http://purl.obolibrary.org/obo/FBbt_00003457	abdominal 1 spiracular muscle 105	http://purl.obolibrary.org/obo/FBbt_00013334	occlusor muscle of adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003025	adult abdominal segment 1	http://purl.obolibrary.org/obo/FBbt_00014816	adult abdominal spiracle 1
http://purl.obolibrary.org/obo/FBbt_00003488	abdominal 2 spiracular muscle 112	http://purl.obolibrary.org/obo/FBbt_00013334	occlusor muscle of adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003026	adult abdominal segment 2	http://purl.obolibrary.org/obo/FBbt_00014815	adult abdominal spiracle 2
http://purl.obolibrary.org/obo/FBbt_00003489	abdominal 3 spiracular muscle 118	http://purl.obolibrary.org/obo/FBbt_00013334	occlusor muscle of adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003027	adult abdominal segment 3	http://purl.obolibrary.org/obo/FBbt_00004815	adult abdominal spiracle 3
http://purl.obolibrary.org/obo/FBbt_00003490	abdominal 4 spiracular muscle 124	http://purl.obolibrary.org/obo/FBbt_00013334	occlusor muscle of adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003028	adult abdominal segment 4	http://purl.obolibrary.org/obo/FBbt_00004816	adult abdominal spiracle 4
http://purl.obolibrary.org/obo/FBbt_00003491	abdominal 5 spiracular muscle 130	http://purl.obolibrary.org/obo/FBbt_00013334	occlusor muscle of adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003029	adult abdominal segment 5	http://purl.obolibrary.org/obo/FBbt_00004817	adult abdominal spiracle 5
http://purl.obolibrary.org/obo/FBbt_00003492	abdominal 6 spiracular muscle 136	http://purl.obolibrary.org/obo/FBbt_00013334	occlusor muscle of adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003030	adult abdominal segment 6	http://purl.obolibrary.org/obo/FBbt_00004818	adult abdominal spiracle 6
http://purl.obolibrary.org/obo/FBbt_00004814	adult abdominal spiracle	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003024	adult abdominal segment	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch
http://purl.obolibrary.org/obo/FBbt_00014816	adult abdominal spiracle 1	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003025	adult abdominal segment 1	http://purl.obolibrary.org/obo/FBbt_00003075	adult abdominal spiracular branch 3
http://purl.obolibrary.org/obo/FBbt_00014815	adult abdominal spiracle 2	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003026	adult abdominal segment 2	http://purl.obolibrary.org/obo/FBbt_00003076	adult abdominal spiracular branch 4
http://purl.obolibrary.org/obo/FBbt_00004815	adult abdominal spiracle 3	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003027	adult abdominal segment 3	http://purl.obolibrary.org/obo/FBbt_00003077	adult abdominal spiracular branch 5
http://purl.obolibrary.org/obo/FBbt_00004816	adult abdominal spiracle 4	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003028	adult abdominal segment 4	http://purl.obolibrary.org/obo/FBbt_00003078	adult abdominal spiracular branch 6
http://purl.obolibrary.org/obo/FBbt_00004817	adult abdominal spiracle 5	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003029	adult abdominal segment 5	http://purl.obolibrary.org/obo/FBbt_00003079	adult abdominal spiracular branch 7
http://purl.obolibrary.org/obo/FBbt_00004818	adult abdominal spiracle 6	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003030	adult abdominal segment 6	http://purl.obolibrary.org/obo/FBbt_00003080	adult abdominal spiracular branch 8
http://purl.obolibrary.org/obo/FBbt_00004819	adult abdominal spiracle 7	http://purl.obolibrary.org/obo/FBbt_00003120	adult spiracle	http://purl.obolibrary.org/obo/FBbt_00003031	adult abdominal segment 7	http://purl.obolibrary.org/obo/FBbt_00003081	adult abdominal spiracular branch 9
http://purl.obolibrary.org/obo/FBbt_00003076	adult abdominal spiracular branch 4	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005029	tracheal metamere 4	http://purl.obolibrary.org/obo/FBbt_00014815	adult abdominal spiracle 2
http://purl.obolibrary.org/obo/FBbt_00003077	adult abdominal spiracular branch 5	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005030	tracheal metamere 5	http://purl.obolibrary.org/obo/FBbt_00004815	adult abdominal spiracle 3
http://purl.obolibrary.org/obo/FBbt_00003078	adult abdominal spiracular branch 6	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005031	tracheal metamere 6	http://purl.obolibrary.org/obo/FBbt_00004816	adult abdominal spiracle 4
http://purl.obolibrary.org/obo/FBbt_00003079	adult abdominal spiracular branch 7	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005032	tracheal metamere 7	http://purl.obolibrary.org/obo/FBbt_00004817	adult abdominal spiracle 5
http://purl.obolibrary.org/obo/FBbt_00003080	adult abdominal spiracular branch 8	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005033	tracheal metamere 8	http://purl.obolibrary.org/obo/FBbt_00004818	adult abdominal spiracle 6
http://purl.obolibrary.org/obo/FBbt_00003081	adult abdominal spiracular branch 9	http://purl.obolibrary.org/obo/FBbt_00003074	adult abdominal spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005034	tracheal metamere 9	http://purl.obolibrary.org/obo/FBbt_00004819	adult abdominal spiracle 7
http://purl.obolibrary.org/obo/FBbt_00003072	adult spiracular branch 1	http://purl.obolibrary.org/obo/FBbt_00003071	adult spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005026	tracheal metamere 1	http://purl.obolibrary.org/obo/FBbt_00004609	adult anterior thoracic spiracle
http://purl.obolibrary.org/obo/FBbt_00003073	adult spiracular branch 2	http://purl.obolibrary.org/obo/FBbt_00003071	adult spiracular branch	http://purl.obolibrary.org/obo/FBbt_00005027	tracheal metamere 2	http://purl.obolibrary.org/obo/FBbt_00004631	adult metathoracic spiracle
http://purl.obolibrary.org/obo/FBbt_00002997	anterior pupal spiracle	http://purl.obolibrary.org/obo/FBbt_00002996	pupal spiracle	http://purl.obolibrary.org/obo/FBbt_00005026	tracheal metamere 1	http://purl.obolibrary.org/obo/FBbt_00002976	pupal spiracular branch 1
http://purl.obolibrary.org/obo/FBbt_00007473	dorsal anastomosis 1	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005026	tracheal metamere 1	http://purl.obolibrary.org/obo/FBbt_00000267	embryonic/larval dorsal branch 2
http://purl.obolibrary.org/obo/FBbt_00000277	dorsal anastomosis 2	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005027	tracheal metamere 2	http://purl.obolibrary.org/obo/FBbt_00000267	embryonic/larval dorsal branch 2
http://purl.obolibrary.org/obo/FBbt_00000278	dorsal anastomosis 3	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005028	tracheal metamere 3	http://purl.obolibrary.org/obo/FBbt_00000268	embryonic/larval dorsal branch 3
http://purl.obolibrary.org/obo/FBbt_00000279	dorsal anastomosis 4	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005029	tracheal metamere 4	http://purl.obolibrary.org/obo/FBbt_00000269	embryonic/larval dorsal branch 4
http://purl.obolibrary.org/obo/FBbt_00000280	dorsal anastomosis 5	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005030	tracheal metamere 5	http://purl.obolibrary.org/obo/FBbt_00000270	embryonic/larval dorsal branch 5
http://purl.obolibrary.org/obo/FBbt_00000281	dorsal anastomosis 6	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005031	tracheal metamere 6	http://purl.obolibrary.org/obo/FBbt_00000271	embryonic/larval dorsal branch 6
http://purl.obolibrary.org/obo/FBbt_00000282	dorsal anastomosis 7	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005032	tracheal metamere 7	http://purl.obolibrary.org/obo/FBbt_00000272	embryonic/larval dorsal branch 7
http://purl.obolibrary.org/obo/FBbt_00000283	dorsal anastomosis 8	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005033	tracheal metamere 8	http://purl.obolibrary.org/obo/FBbt_00000273	embryonic/larval dorsal branch 8
http://purl.obolibrary.org/obo/FBbt_00000284	dorsal anastomosis 9	http://purl.obolibrary.org/obo/FBbt_00000276	embryonic/larval dorsal anastomosis	http://purl.obolibrary.org/obo/FBbt_00005034	tracheal metamere 9	http://purl.obolibrary.org/obo/FBbt_00000274	embryonic/larval dorsal branch 9
http://purl.obolibrary.org/obo/FBbt_00000350	fat body branch 10	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005035	tracheal metamere 10	http://purl.obolibrary.org/obo/FBbt_00000264	embryonic/larval transverse connective 10
http://purl.obolibrary.org/obo/FBbt_00000342	fat body branch 2	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005027	tracheal metamere 2	http://purl.obolibrary.org/obo/FBbt_00000256	embryonic/larval transverse connective 2
http://purl.obolibrary.org/obo/FBbt_00000343	fat body branch 3	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005028	tracheal metamere 3	http://purl.obolibrary.org/obo/FBbt_00000257	embryonic/larval transverse connective 3
http://purl.obolibrary.org/obo/FBbt_00000344	fat body branch 4	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005029	tracheal metamere 4	http://purl.obolibrary.org/obo/FBbt_00000258	embryonic/larval transverse connective 4
http://purl.obolibrary.org/obo/FBbt_00000345	fat body branch 5	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005030	tracheal metamere 5	http://purl.obolibrary.org/obo/FBbt_00000259	embryonic/larval transverse connective 5
http://purl.obolibrary.org/obo/FBbt_00000346	fat body branch 6	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005031	tracheal metamere 6	http://purl.obolibrary.org/obo/FBbt_00000260	embryonic/larval transverse connective 6
http://purl.obolibrary.org/obo/FBbt_00000347	fat body branch 7	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005032	tracheal metamere 7	http://purl.obolibrary.org/obo/FBbt_00000261	embryonic/larval transverse connective 7
http://purl.obolibrary.org/obo/FBbt_00000348	fat body branch 8	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005033	tracheal metamere 8	http://purl.obolibrary.org/obo/FBbt_00000262	embryonic/larval transverse connective 8
http://purl.obolibrary.org/obo/FBbt_00000349	fat body branch 9	http://purl.obolibrary.org/obo/FBbt_00000340	embryonic/larval fat body branch	http://purl.obolibrary.org/obo/FBbt_00005034	tracheal metamere 9	http://purl.obolibrary.org/obo/FBbt_00000263	embryonic/larval transverse connective 9
http://purl.obolibrary.org/obo/FBbt_00007604	intersegmental nerve root	http://purl.obolibrary.org/obo/FBbt_00007602	nerve root	http://purl.obolibrary.org/obo/FBbt_00001102	ventral nerve cord	http://purl.obolibrary.org/obo/FBbt_00001997	intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00003401	mesothoracic spiracle occlusor muscle 76	http://purl.obolibrary.org/obo/FBbt_00013333	spiracular occlusor muscle	http://purl.obolibrary.org/obo/FBbt_00003021	adult mesothoracic segment	http://purl.obolibrary.org/obo/FBbt_00004609	adult anterior thoracic spiracle
