defined_class	defined_class_label	v0	v0_label	v1	v1_label	v2	v2_label
http://purl.obolibrary.org/obo/FBbt_00002320	abdominal intersegmental nerve neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00001911	embryonic/larval nervous system	http://purl.obolibrary.org/obo/FBbt_00002319	abdominal intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00047944	larval abdominal sensory neuron	http://purl.obolibrary.org/obo/FBbt_00005124	sensory neuron	http://purl.obolibrary.org/obo/FBbt_00001911	embryonic/larval nervous system	http://purl.obolibrary.org/obo/FBbt_00002179	abdominal nerve
http://purl.obolibrary.org/obo/FBbt_00002106	mesothoracic desA neuron	http://purl.obolibrary.org/obo/FBbt_00001999	desA neuron	http://purl.obolibrary.org/obo/FBbt_00002749	mesothoracic dorsal sensillum campaniformium dc1	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002107	mesothoracic desB neuron	http://purl.obolibrary.org/obo/FBbt_00002000	desB neuron	http://purl.obolibrary.org/obo/FBbt_00002747	mesothoracic dorsal sensillum trichodeum dh1	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002108	mesothoracic desC neuron	http://purl.obolibrary.org/obo/FBbt_00002001	desC neuron	http://purl.obolibrary.org/obo/FBbt_00002750	mesothoracic dorsal sensillum campaniformium dc2	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002109	mesothoracic desD neuron	http://purl.obolibrary.org/obo/FBbt_00002002	desD neuron	http://purl.obolibrary.org/obo/FBbt_00002751	mesothoracic dorsal sensillum campaniformium dc3	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002110	mesothoracic desE neuron	http://purl.obolibrary.org/obo/FBbt_00002003	desE neuron	http://purl.obolibrary.org/obo/FBbt_00002748	mesothoracic dorsal sensillum trichodeum dh2	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002114	mesothoracic les3 neuron	http://purl.obolibrary.org/obo/FBbt_00002016	les3 neuron	http://purl.obolibrary.org/obo/FBbt_00002753	mesothoracic lateral Kolbchen lbd	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002111	mesothoracic lesA neuron	http://purl.obolibrary.org/obo/FBbt_00002012	lesA neuron	http://purl.obolibrary.org/obo/FBbt_00002755	mesothoracic lateral sensillum campaniformium lc1	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002112	mesothoracic lesB neuron	http://purl.obolibrary.org/obo/FBbt_00002013	lesB neuron	http://purl.obolibrary.org/obo/FBbt_00002754	mesothoracic lateral sensillum trichodeum lh1	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002113	mesothoracic lesC neuron	http://purl.obolibrary.org/obo/FBbt_00002014	lesC neuron	http://purl.obolibrary.org/obo/FBbt_00002756	mesothoracic lateral sensillum campaniformium lc2	http://purl.obolibrary.org/obo/FBbt_00002104	mesothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002132	mesothoracic v'es3 neuron	http://purl.obolibrary.org/obo/FBbt_00002051	v'es3 neuron	http://purl.obolibrary.org/obo/FBbt_00002757	mesothoracic ventral Kolbchen vbd	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002133	mesothoracic v'esA neuron	http://purl.obolibrary.org/obo/FBbt_00002048	v'esA neuron	http://purl.obolibrary.org/obo/FBbt_00002758	mesothoracic ventral sensillum campaniformium vc1	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002134	mesothoracic v'esB neuron	http://purl.obolibrary.org/obo/FBbt_00002049	v'esB neuron	http://purl.obolibrary.org/obo/FBbt_00002759	mesothoracic ventral sensillum campaniformium vc2	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002135	mesothoracic vch1 neuron	http://purl.obolibrary.org/obo/FBbt_00002040	vch1 neuron	http://purl.obolibrary.org/obo/FBbt_00002760	mesothoracic ventral monoscolopidial chordotonal organ vch1	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002127	mesothoracic vesA neuron	http://purl.obolibrary.org/obo/FBbt_00002041	vesA neuron	http://purl.obolibrary.org/obo/FBbt_00002761	mesothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002128	mesothoracic vesB neuron	http://purl.obolibrary.org/obo/FBbt_00002042	vesB neuron	http://purl.obolibrary.org/obo/FBbt_00002761	mesothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002129	mesothoracic vesC neuron	http://purl.obolibrary.org/obo/FBbt_00002043	vesC neuron	http://purl.obolibrary.org/obo/FBbt_00002761	mesothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002130	mesothoracic vesD neuron	http://purl.obolibrary.org/obo/FBbt_00002044	vesD neuron	http://purl.obolibrary.org/obo/FBbt_00002761	mesothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002131	mesothoracic vesE neuron	http://purl.obolibrary.org/obo/FBbt_00002045	vesE neuron	http://purl.obolibrary.org/obo/FBbt_00002761	mesothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002125	mesothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002144	metathoracic desA neuron	http://purl.obolibrary.org/obo/FBbt_00001999	desA neuron	http://purl.obolibrary.org/obo/FBbt_00002749	mesothoracic dorsal sensillum campaniformium dc1	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002145	metathoracic desB neuron	http://purl.obolibrary.org/obo/FBbt_00002000	desB neuron	http://purl.obolibrary.org/obo/FBbt_00002765	metathoracic dorsal sensillum trichodeum dh1	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002146	metathoracic desC neuron	http://purl.obolibrary.org/obo/FBbt_00002001	desC neuron	http://purl.obolibrary.org/obo/FBbt_00002768	metathoracic dorsal sensillum campaniformium dc2	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002147	metathoracic desD neuron	http://purl.obolibrary.org/obo/FBbt_00002002	desD neuron	http://purl.obolibrary.org/obo/FBbt_00002769	metathoracic dorsal sensillum campaniformium dc3	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002148	metathoracic desE neuron	http://purl.obolibrary.org/obo/FBbt_00002003	desE neuron	http://purl.obolibrary.org/obo/FBbt_00002766	metathoracic dorsal sensillum trichodeum dh2	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002152	metathoracic les3 neuron	http://purl.obolibrary.org/obo/FBbt_00002016	les3 neuron	http://purl.obolibrary.org/obo/FBbt_00002771	metathoracic lateral Kolbchen lbd	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002149	metathoracic lesA neuron	http://purl.obolibrary.org/obo/FBbt_00002012	lesA neuron	http://purl.obolibrary.org/obo/FBbt_00002773	metathoracic lateral sensillum campaniformium lc1	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002150	metathoracic lesB neuron	http://purl.obolibrary.org/obo/FBbt_00002013	lesB neuron	http://purl.obolibrary.org/obo/FBbt_00002772	metathoracic lateral sensillum trichodeum lh1	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002151	metathoracic lesC neuron	http://purl.obolibrary.org/obo/FBbt_00002014	lesC neuron	http://purl.obolibrary.org/obo/FBbt_00002774	metathoracic lateral sensillum campaniformium lc2	http://purl.obolibrary.org/obo/FBbt_00002142	metathoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002170	metathoracic v'es3 neuron	http://purl.obolibrary.org/obo/FBbt_00002051	v'es3 neuron	http://purl.obolibrary.org/obo/FBbt_00002775	metathoracic ventral Kolbchen vbd	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002171	metathoracic v'esA neuron	http://purl.obolibrary.org/obo/FBbt_00002048	v'esA neuron	http://purl.obolibrary.org/obo/FBbt_00002776	metathoracic ventral sensillum campaniformium vc1	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002172	metathoracic v'esB neuron	http://purl.obolibrary.org/obo/FBbt_00002049	v'esB neuron	http://purl.obolibrary.org/obo/FBbt_00002777	metathoracic ventral sensillum campaniformium vc2	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002173	metathoracic vch1 neuron	http://purl.obolibrary.org/obo/FBbt_00002040	vch1 neuron	http://purl.obolibrary.org/obo/FBbt_00002778	metathoracic ventral monoscolopidial chordotonal organ vch1	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002165	metathoracic vesA neuron	http://purl.obolibrary.org/obo/FBbt_00002041	vesA neuron	http://purl.obolibrary.org/obo/FBbt_00002779	metathoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002166	metathoracic vesB neuron	http://purl.obolibrary.org/obo/FBbt_00002042	vesB neuron	http://purl.obolibrary.org/obo/FBbt_00002779	metathoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002167	metathoracic vesC neuron	http://purl.obolibrary.org/obo/FBbt_00002043	vesC neuron	http://purl.obolibrary.org/obo/FBbt_00002779	metathoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002168	metathoracic vesD neuron	http://purl.obolibrary.org/obo/FBbt_00002044	vesD neuron	http://purl.obolibrary.org/obo/FBbt_00002779	metathoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002169	metathoracic vesE neuron	http://purl.obolibrary.org/obo/FBbt_00002045	vesE neuron	http://purl.obolibrary.org/obo/FBbt_00002779	metathoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002163	metathoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002066	prothoracic desA neuron	http://purl.obolibrary.org/obo/FBbt_00001999	desA neuron	http://purl.obolibrary.org/obo/FBbt_00002731	prothoracic dorsal sensillum campaniformium dc1	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002067	prothoracic desB neuron	http://purl.obolibrary.org/obo/FBbt_00002000	desB neuron	http://purl.obolibrary.org/obo/FBbt_00002729	prothoracic dorsal sensillum trichodeum dh1	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002068	prothoracic desC neuron	http://purl.obolibrary.org/obo/FBbt_00002001	desC neuron	http://purl.obolibrary.org/obo/FBbt_00002732	prothoracic dorsal sensillum campaniformium dc2	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002069	prothoracic desD neuron	http://purl.obolibrary.org/obo/FBbt_00002002	desD neuron	http://purl.obolibrary.org/obo/FBbt_00002733	prothoracic dorsal sensillum campaniformium dc3	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002070	prothoracic desE neuron	http://purl.obolibrary.org/obo/FBbt_00002003	desE neuron	http://purl.obolibrary.org/obo/FBbt_00002730	prothoracic dorsal sensillum trichodeum dh2	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002074	prothoracic lch3 neuron	http://purl.obolibrary.org/obo/FBbt_00002018	lch3 neuron	http://purl.obolibrary.org/obo/FBbt_00002738	prothoracic lateral triscolopidial chordotonal organ lch3	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002071	prothoracic lesA neuron	http://purl.obolibrary.org/obo/FBbt_00002012	lesA neuron	http://purl.obolibrary.org/obo/FBbt_00002736	prothoracic lateral sensillum campaniformium lc1	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002072	prothoracic lesB neuron	http://purl.obolibrary.org/obo/FBbt_00002013	lesB neuron	http://purl.obolibrary.org/obo/FBbt_00002735	prothoracic lateral sensillum trichodeum lh1	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002073	prothoracic lesC neuron	http://purl.obolibrary.org/obo/FBbt_00002014	lesC neuron	http://purl.obolibrary.org/obo/FBbt_00002737	prothoracic lateral sensillum campaniformium lc2	http://purl.obolibrary.org/obo/FBbt_00002064	prothoracic intersegmental nerve
http://purl.obolibrary.org/obo/FBbt_00002095	prothoracic v''esA neuron	http://purl.obolibrary.org/obo/FBbt_00002052	v''esA neuron	http://purl.obolibrary.org/obo/FBbt_00002726	prothoracic slit papilla sensillum px	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002096	prothoracic v''esB neuron	http://purl.obolibrary.org/obo/FBbt_00002053	v''esB neuron	http://purl.obolibrary.org/obo/FBbt_00002727	prothoracic slit papilla sensillum py	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002094	prothoracic v'es3 neuron	http://purl.obolibrary.org/obo/FBbt_00002051	v'es3 neuron	http://purl.obolibrary.org/obo/FBbt_00002739	prothoracic ventral Kolbchen vbd	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002092	prothoracic v'esA neuron	http://purl.obolibrary.org/obo/FBbt_00002048	v'esA neuron	http://purl.obolibrary.org/obo/FBbt_00002740	prothoracic ventral sensillum campaniformium vc1	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002093	prothoracic v'esB neuron	http://purl.obolibrary.org/obo/FBbt_00002049	v'esB neuron	http://purl.obolibrary.org/obo/FBbt_00002741	prothoracic ventral sensillum campaniformium vc2	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002097	prothoracic vch1 neuron	http://purl.obolibrary.org/obo/FBbt_00002040	vch1 neuron	http://purl.obolibrary.org/obo/FBbt_00002742	prothoracic ventral monoscolopidial chordotonal organ vch1	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002087	prothoracic vesA neuron	http://purl.obolibrary.org/obo/FBbt_00002041	vesA neuron	http://purl.obolibrary.org/obo/FBbt_00111639	prothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002088	prothoracic vesB neuron	http://purl.obolibrary.org/obo/FBbt_00002042	vesB neuron	http://purl.obolibrary.org/obo/FBbt_00111639	prothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002089	prothoracic vesC neuron	http://purl.obolibrary.org/obo/FBbt_00002043	vesC neuron	http://purl.obolibrary.org/obo/FBbt_00111639	prothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002090	prothoracic vesD neuron	http://purl.obolibrary.org/obo/FBbt_00002044	vesD neuron	http://purl.obolibrary.org/obo/FBbt_00111639	prothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
http://purl.obolibrary.org/obo/FBbt_00002091	prothoracic vesE neuron	http://purl.obolibrary.org/obo/FBbt_00002045	vesE neuron	http://purl.obolibrary.org/obo/FBbt_00111639	prothoracic Keilin's organ	http://purl.obolibrary.org/obo/FBbt_00002085	prothoracic segmental nerve
