defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/FBbt_00001990	A3 neuron	http://purl.obolibrary.org/obo/FBbt_00001987	abdominal neuron
http://purl.obolibrary.org/obo/FBbt_00002274	abdominal 3 V neuron	http://purl.obolibrary.org/obo/FBbt_00002271	abdominal V neuron
http://purl.obolibrary.org/obo/FBbt_00000728	abdominal 3 acute muscle	http://purl.obolibrary.org/obo/FBbt_00000589	A1-7 acute muscle
http://purl.obolibrary.org/obo/FBbt_00001113	abdominal 3 anterior commissure	http://purl.obolibrary.org/obo/FBbt_00001110	abdominal anterior commissure
http://purl.obolibrary.org/obo/FBbt_00002520	abdominal 3 anterior ventral multidendritic neuron vdaa	http://purl.obolibrary.org/obo/FBbt_00002517	abdominal anterior ventral multidendritic neuron vdaa
http://purl.obolibrary.org/obo/FBbt_00002324	abdominal 3 desA neuron	http://purl.obolibrary.org/obo/FBbt_00002321	abdominal desA neuron
http://purl.obolibrary.org/obo/FBbt_00002332	abdominal 3 desB neuron	http://purl.obolibrary.org/obo/FBbt_00002329	abdominal desB neuron
http://purl.obolibrary.org/obo/FBbt_00100761	abdominal 3 dopaminergic AM neuron	http://purl.obolibrary.org/obo/FBbt_00100390	larval dopaminergic AM neuron
http://purl.obolibrary.org/obo/FBbt_00000729	abdominal 3 dorsal acute muscle	http://purl.obolibrary.org/obo/FBbt_00000590	A1-7 dorsal acute muscle
http://purl.obolibrary.org/obo/FBbt_00000730	abdominal 3 dorsal acute muscle 1	http://purl.obolibrary.org/obo/FBbt_00000591	A1-7 dorsal acute muscle 1
http://purl.obolibrary.org/obo/FBbt_00000731	abdominal 3 dorsal acute muscle 2	http://purl.obolibrary.org/obo/FBbt_00000592	A1-7 dorsal acute muscle 2
http://purl.obolibrary.org/obo/FBbt_00000732	abdominal 3 dorsal acute muscle 3	http://purl.obolibrary.org/obo/FBbt_00000593	A1-7 dorsal acute muscle 3
http://purl.obolibrary.org/obo/FBbt_00002445	abdominal 3 dorsal bipolar neuron dbp	http://purl.obolibrary.org/obo/FBbt_00002442	abdominal dorsal bipolar neuron dbp
http://purl.obolibrary.org/obo/FBbt_00002210	abdominal 3 dorsal motor neuron	http://purl.obolibrary.org/obo/FBbt_00002207	A1-7 dorsal motor neuron
http://purl.obolibrary.org/obo/FBbt_00002389	abdominal 3 dorsal multidendritic neuron ddaA	http://purl.obolibrary.org/obo/FBbt_00002386	abdominal dorsal multidendritic neuron ddaA
http://purl.obolibrary.org/obo/FBbt_00002397	abdominal 3 dorsal multidendritic neuron ddaB	http://purl.obolibrary.org/obo/FBbt_00002394	abdominal dorsal multidendritic neuron ddaB
http://purl.obolibrary.org/obo/FBbt_00002405	abdominal 3 dorsal multidendritic neuron ddaC	http://purl.obolibrary.org/obo/FBbt_00002402	abdominal dorsal multidendritic neuron ddaC
http://purl.obolibrary.org/obo/FBbt_00002413	abdominal 3 dorsal multidendritic neuron ddaD	http://purl.obolibrary.org/obo/FBbt_00002410	abdominal dorsal multidendritic neuron ddaD
http://purl.obolibrary.org/obo/FBbt_00002421	abdominal 3 dorsal multidendritic neuron ddaE	http://purl.obolibrary.org/obo/FBbt_00002418	abdominal dorsal multidendritic neuron ddaE
http://purl.obolibrary.org/obo/FBbt_00012389	abdominal 3 dorsal multidendritic neuron ddaF	http://purl.obolibrary.org/obo/FBbt_00006025	abdominal dorsal multidendritic neuron ddaF
http://purl.obolibrary.org/obo/FBbt_00000738	abdominal 3 dorsal oblique muscle	http://purl.obolibrary.org/obo/FBbt_00000608	A1-7 dorsal oblique muscle
http://purl.obolibrary.org/obo/FBbt_00000739	abdominal 3 dorsal oblique muscle 1	http://purl.obolibrary.org/obo/FBbt_00000609	A1-7 dorsal oblique muscle 1
