defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/GO_0045744	negative regulation of G protein-coupled receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0007186	G protein-coupled receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0014058	negative regulation of acetylcholine secretion, neurotransmission	http://purl.obolibrary.org/obo/GO_0014055	acetylcholine secretion, neurotransmission
http://purl.obolibrary.org/obo/GO_0051953	negative regulation of amine transport	http://purl.obolibrary.org/obo/GO_0015837	amine transport
http://purl.obolibrary.org/obo/GO_0051956	negative regulation of amino acid transport	http://purl.obolibrary.org/obo/GO_0006865	amino acid transport
http://purl.obolibrary.org/obo/GO_1903792	negative regulation of anion transport	http://purl.obolibrary.org/obo/GO_0006820	anion transport
http://purl.obolibrary.org/obo/GO_0048521	negative regulation of behavior	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/GO_0048519	negative regulation of biological process	http://purl.obolibrary.org/obo/GO_0008150	biological_process
http://purl.obolibrary.org/obo/GO_0009895	negative regulation of catabolic process	http://purl.obolibrary.org/obo/GO_0009056	catabolic process
http://purl.obolibrary.org/obo/GO_0033604	negative regulation of catecholamine secretion	http://purl.obolibrary.org/obo/GO_0050432	catecholamine secretion
http://purl.obolibrary.org/obo/GO_0010648	negative regulation of cell communication	http://purl.obolibrary.org/obo/GO_0007154	cell communication
http://purl.obolibrary.org/obo/GO_0048523	negative regulation of cellular process	http://purl.obolibrary.org/obo/GO_0009987	cellular process
http://purl.obolibrary.org/obo/GO_1901181	negative regulation of cellular response to caffeine	http://purl.obolibrary.org/obo/GO_0071313	cellular response to caffeine
http://purl.obolibrary.org/obo/GO_2001039	negative regulation of cellular response to drug	http://purl.obolibrary.org/obo/GO_0035690	cellular response to drug
http://purl.obolibrary.org/obo/GO_0042754	negative regulation of circadian rhythm	http://purl.obolibrary.org/obo/GO_0007623	circadian rhythm
http://purl.obolibrary.org/obo/GO_0042321	negative regulation of circadian sleep/wake cycle, sleep	http://purl.obolibrary.org/obo/GO_0050802	circadian sleep/wake cycle, sleep
http://purl.obolibrary.org/obo/GO_1905788	negative regulation of detection of mechanical stimulus involved in sensory perception of touch	http://purl.obolibrary.org/obo/GO_0050976	detection of mechanical stimulus involved in sensory perception of touch
http://purl.obolibrary.org/obo/GO_0051093	negative regulation of developmental process	http://purl.obolibrary.org/obo/GO_0032502	developmental process
http://purl.obolibrary.org/obo/GO_0060457	negative regulation of digestive system process	http://purl.obolibrary.org/obo/GO_0022600	digestive system process
http://purl.obolibrary.org/obo/GO_0033602	negative regulation of dopamine secretion	http://purl.obolibrary.org/obo/GO_0014046	dopamine secretion
http://purl.obolibrary.org/obo/GO_0045804	negative regulation of eclosion	http://purl.obolibrary.org/obo/GO_0007562	eclosion
http://purl.obolibrary.org/obo/GO_2000252	negative regulation of feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/GO_0014053	negative regulation of gamma-aminobutyric acid secretion	http://purl.obolibrary.org/obo/GO_0014051	gamma-aminobutyric acid secretion
http://purl.obolibrary.org/obo/GO_0014050	negative regulation of glutamate secretion	http://purl.obolibrary.org/obo/GO_0014047	glutamate secretion
