defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FBbt_00048113	adult NPF neuron	http://purl.obolibrary.org/obo/FBbt_00003004	adult	http://flybase.org/reports/FBgn0027109	neuropeptide F
http://purl.obolibrary.org/obo/FBbt_00047347	adult doublesex neuron	http://purl.obolibrary.org/obo/FBbt_00003004	adult	http://flybase.org/reports/FBgn0000504	doublesex
http://purl.obolibrary.org/obo/FBbt_00110475	adult fruitless Lo neuron	http://purl.obolibrary.org/obo/FBbt_00110474	adult fruitless Lo lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110477	adult fruitless M neuron	http://purl.obolibrary.org/obo/FBbt_00110476	adult fruitless M lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110419	adult fruitless aDT-c neuron	http://purl.obolibrary.org/obo/FBbt_00110418	adult fruitless aDT-c lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110537	adult fruitless aDT1 neuron	http://purl.obolibrary.org/obo/FBbt_00110536	adult fruitless aDT1 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110539	adult fruitless aDT4 neuron	http://purl.obolibrary.org/obo/FBbt_00110538	adult fruitless aDT4 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110541	adult fruitless aDT7 neuron	http://purl.obolibrary.org/obo/FBbt_00110540	adult fruitless aDT7 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110543	adult fruitless aDT8 neuron	http://purl.obolibrary.org/obo/FBbt_00110542	adult fruitless aDT8 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110545	adult fruitless aIP2 neuron	http://purl.obolibrary.org/obo/FBbt_00110544	adult fruitless aIP2 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110547	adult fruitless aIP3 neuron	http://purl.obolibrary.org/obo/FBbt_00110546	adult fruitless aIP3 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111188	adult fruitless aIP4 neuron	http://purl.obolibrary.org/obo/FBbt_00111187	adult fruitless aIP4 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110529	adult fruitless aIP5 neuron	http://purl.obolibrary.org/obo/FBbt_00110528	adult fruitless aIP5 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110447	adult fruitless aSG-a neuron	http://purl.obolibrary.org/obo/FBbt_00110446	adult fruitless aSG-a lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111190	adult fruitless aSG1 neuron	http://purl.obolibrary.org/obo/FBbt_00111189	adult fruitless aSG1 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111192	adult fruitless aSG2 neuron	http://purl.obolibrary.org/obo/FBbt_00111191	adult fruitless aSG2 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111168	adult fruitless aSG3 neuron	http://purl.obolibrary.org/obo/FBbt_00111167	adult fruitless aSG3 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111180	adult fruitless aSG4 neuron	http://purl.obolibrary.org/obo/FBbt_00111179	adult fruitless aSG4 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111156	adult fruitless aSG5 neuron	http://purl.obolibrary.org/obo/FBbt_00111155	adult fruitless aSG5 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111182	adult fruitless aSG6 neuron	http://purl.obolibrary.org/obo/FBbt_00111181	adult fruitless aSG6 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110457	adult fruitless aSP-e neuron	http://purl.obolibrary.org/obo/FBbt_00110456	adult fruitless aSP-e lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111194	adult fruitless aSP10 neuron	http://purl.obolibrary.org/obo/FBbt_00111193	adult fruitless aSP10 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00110553	adult fruitless aSP3 neuron	http://purl.obolibrary.org/obo/FBbt_00110552	adult fruitless aSP3 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111087	adult fruitless dAB1 neuron	http://purl.obolibrary.org/obo/FBbt_00111148	adult fruitless dAB1 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111089	adult fruitless dAB2 neuron	http://purl.obolibrary.org/obo/FBbt_00111088	adult fruitless dAB2 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111091	adult fruitless dAB3 neuron	http://purl.obolibrary.org/obo/FBbt_00111090	adult fruitless dAB3 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111093	adult fruitless dMS1 neuron	http://purl.obolibrary.org/obo/FBbt_00111092	adult fruitless dMS1 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111095	adult fruitless dMS2 neuron	http://purl.obolibrary.org/obo/FBbt_00111094	adult fruitless dMS2 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111097	adult fruitless dMS3 neuron	http://purl.obolibrary.org/obo/FBbt_00111096	adult fruitless dMS3 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
http://purl.obolibrary.org/obo/FBbt_00111099	adult fruitless dMS4 neuron	http://purl.obolibrary.org/obo/FBbt_00111098	adult fruitless dMS4 lineage clone	http://flybase.org/reports/FBgn0004652	fruitless
