defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/FBbt_00050096	adult ALad1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00067346	neuroblast ALad1
http://purl.obolibrary.org/obo/FBbt_00050025	adult ALl1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00067347	neuroblast ALl1
http://purl.obolibrary.org/obo/FBbt_00050040	adult ALlv1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050038	neuroblast ALlv1
http://purl.obolibrary.org/obo/FBbt_00050197	adult ALv1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00067348	neuroblast ALv1
http://purl.obolibrary.org/obo/FBbt_00050037	adult ALv2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050035	neuroblast ALv2
http://purl.obolibrary.org/obo/FBbt_00050224	adult AOTUv1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050222	neuroblast AOTUv1
http://purl.obolibrary.org/obo/FBbt_00050183	adult AOTUv2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050181	neuroblast AOTUv2
http://purl.obolibrary.org/obo/FBbt_00050129	adult AOTUv3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050127	neuroblast AOTUv3
http://purl.obolibrary.org/obo/FBbt_00050064	adult AOTUv4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050062	neuroblast AOTUv4
http://purl.obolibrary.org/obo/FBbt_00050206	adult CLp1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050204	neuroblast CLp1
http://purl.obolibrary.org/obo/FBbt_00050055	adult CLp2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050053	neuroblast CLp2
http://purl.obolibrary.org/obo/FBbt_00050150	adult CREa1 (female) lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050148	neuroblast CREa1 (female)
http://purl.obolibrary.org/obo/FBbt_00050248	adult CREa1 (male) lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050246	neuroblast CREa1 (male)
http://purl.obolibrary.org/obo/FBbt_00050275	adult CREa2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050273	neuroblast CREa2
http://purl.obolibrary.org/obo/FBbt_00050186	adult DL1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050184	neuroblast DL1
http://purl.obolibrary.org/obo/FBbt_00050085	adult DL2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050083	neuroblast DL2
http://purl.obolibrary.org/obo/FBbt_00050020	adult DM1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050018	neuroblast DM1
http://purl.obolibrary.org/obo/FBbt_00050123	adult DM2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050121	neuroblast DM2
http://purl.obolibrary.org/obo/FBbt_00050102	adult DM3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050100	neuroblast DM3
http://purl.obolibrary.org/obo/FBbt_00050254	adult DM4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050252	neuroblast DM4
http://purl.obolibrary.org/obo/FBbt_00050061	adult DM5 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050059	neuroblast DM5
http://purl.obolibrary.org/obo/FBbt_00050144	adult DM6 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050142	neuroblast DM6
http://purl.obolibrary.org/obo/FBbt_00050138	adult EBa1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050136	neuroblast EBa1
http://purl.obolibrary.org/obo/FBbt_00110358	adult EBp1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00110294	neuroblast EBp1
http://purl.obolibrary.org/obo/FBbt_00050192	adult FLAa1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050190	neuroblast FLAa1
http://purl.obolibrary.org/obo/FBbt_00050189	adult FLAa2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050187	neuroblast FLAa2
http://purl.obolibrary.org/obo/FBbt_00050180	adult FLAa3 (female) lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050178	neuroblast FLAa3 (female)
http://purl.obolibrary.org/obo/FBbt_00050011	adult FLAa3 (male) lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050009	neuroblast FLAa3 (male)
http://purl.obolibrary.org/obo/FBbt_00050168	adult LALv1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050166	neuroblast LALv1
http://purl.obolibrary.org/obo/FBbt_00050028	adult LHa1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050026	neuroblast LHa1
http://purl.obolibrary.org/obo/FBbt_00050002	adult LHa2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050000	neuroblast LHa2
http://purl.obolibrary.org/obo/FBbt_00050281	adult LHa3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050279	neuroblast LHa3
http://purl.obolibrary.org/obo/FBbt_00110361	adult LHa4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00110359	neuroblast LHa4
http://purl.obolibrary.org/obo/FBbt_00050099	adult LHd1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050097	neuroblast LHd1
http://purl.obolibrary.org/obo/FBbt_00050117	adult LHd2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050115	neuroblast LHd2
http://purl.obolibrary.org/obo/FBbt_00050049	adult LHl1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050047	neuroblast LHl1
http://purl.obolibrary.org/obo/FBbt_00050034	adult LHl2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050032	neuroblast LHl2
http://purl.obolibrary.org/obo/FBbt_00050257	adult LHl3 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050255	neuroblast LHl3
http://purl.obolibrary.org/obo/FBbt_00050263	adult LHl4 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050261	neuroblast LHl4
http://purl.obolibrary.org/obo/FBbt_00050082	adult LHp1 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050080	neuroblast LHp1
http://purl.obolibrary.org/obo/FBbt_00050141	adult LHp2 lineage neuron	http://purl.obolibrary.org/obo/FBbt_00050139	neuroblast LHp2
http://purl.obolibrary.org/obo/FBbt_00110577	adult MBp lineage neuron	http://purl.obolibrary.org/obo/FBbt_00007113	mushroom body neuroblast
