defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/MA_0000879	3rd ventricle choroid plexus	http://purl.obolibrary.org/obo/MA_0000823	choroid plexus	http://purl.obolibrary.org/obo/MA_0000182	3rd ventricle
http://purl.obolibrary.org/obo/MA_0000882	3rd ventricle ependyma	http://purl.obolibrary.org/obo/MA_0000809	brain ependyma	http://purl.obolibrary.org/obo/MA_0000182	3rd ventricle
http://purl.obolibrary.org/obo/MA_0000983	4th ventricle choroid plexus	http://purl.obolibrary.org/obo/MA_0000823	choroid plexus	http://purl.obolibrary.org/obo/MA_0000196	4th ventricle
http://purl.obolibrary.org/obo/MA_0000986	4th ventricle ependyma	http://purl.obolibrary.org/obo/MA_0000809	brain ependyma	http://purl.obolibrary.org/obo/MA_0000196	4th ventricle
http://purl.obolibrary.org/obo/MA_0000518	abdomen blood vessel	http://purl.obolibrary.org/obo/MA_0000060	blood vessel	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000519	abdomen connective tissue	http://purl.obolibrary.org/obo/MA_0000011	connective tissue	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000520	abdomen muscle	http://purl.obolibrary.org/obo/MA_0000514	trunk muscle	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000521	abdomen nerve	http://purl.obolibrary.org/obo/MA_0000217	nerve	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000522	abdomen organ	http://purl.obolibrary.org/obo/MA_0000516	trunk organ	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000523	abdomen skin	http://purl.obolibrary.org/obo/MA_0000151	skin	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000524	abdominal segment blood vessel	http://purl.obolibrary.org/obo/MA_0000060	blood vessel	http://purl.obolibrary.org/obo/MA_0000021	abdominal segment of trunk
http://purl.obolibrary.org/obo/MA_0000525	abdominal segment bone	http://purl.obolibrary.org/obo/MA_0001459	bone	http://purl.obolibrary.org/obo/MA_0000021	abdominal segment of trunk
http://purl.obolibrary.org/obo/MA_0000526	abdominal segment connective tissue	http://purl.obolibrary.org/obo/MA_0000011	connective tissue	http://purl.obolibrary.org/obo/MA_0000021	abdominal segment of trunk
