defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/MA_0000519	abdomen connective tissue	http://purl.obolibrary.org/obo/MA_0000029	abdomen
http://purl.obolibrary.org/obo/MA_0000526	abdominal segment connective tissue	http://purl.obolibrary.org/obo/MA_0000021	abdominal segment of trunk
http://purl.obolibrary.org/obo/MA_0000639	ankle connective tissue	http://purl.obolibrary.org/obo/MA_0000043	ankle
http://purl.obolibrary.org/obo/MA_0000593	arm connective tissue	http://purl.obolibrary.org/obo/MA_0000033	arm
http://purl.obolibrary.org/obo/MA_0000550	chest connective tissue	http://purl.obolibrary.org/obo/MA_0000031	chest
http://purl.obolibrary.org/obo/MA_0000609	elbow connective tissue	http://purl.obolibrary.org/obo/MA_0000036	elbow
http://purl.obolibrary.org/obo/MA_0000644	foot connective tissue	http://purl.obolibrary.org/obo/MA_0000044	foot
http://purl.obolibrary.org/obo/MA_0000613	forelimb connective tissue	http://purl.obolibrary.org/obo/MA_0000025	forelimb
http://purl.obolibrary.org/obo/MA_0000620	hand connective tissue	http://purl.obolibrary.org/obo/MA_0000037	hand
http://purl.obolibrary.org/obo/MA_0000577	head connective tissue	http://purl.obolibrary.org/obo/MA_0000023	head
http://purl.obolibrary.org/obo/MA_0000570	head or neck connective tissue	http://purl.obolibrary.org/obo/MA_0000006	head and neck
http://purl.obolibrary.org/obo/MA_0000661	hindlimb connective tissue	http://purl.obolibrary.org/obo/MA_0000026	hindlimb
http://purl.obolibrary.org/obo/MA_0000656	hip connective tissue	http://purl.obolibrary.org/obo/MA_0000045	hip
http://purl.obolibrary.org/obo/MA_0000667	knee connective tissue	http://purl.obolibrary.org/obo/MA_0000046	knee
http://purl.obolibrary.org/obo/MA_0000671	leg connective tissue	http://purl.obolibrary.org/obo/MA_0000047	leg
http://purl.obolibrary.org/obo/MA_0000689	limb connective tissue	http://purl.obolibrary.org/obo/MA_0000007	limb
http://purl.obolibrary.org/obo/MA_0000585	neck connective tissue	http://purl.obolibrary.org/obo/MA_0000024	neck
http://purl.obolibrary.org/obo/MA_0000533	pelvis connective tissue	http://purl.obolibrary.org/obo/MA_0000030	pelvis
http://purl.obolibrary.org/obo/MA_0000632	shoulder connective tissue	http://purl.obolibrary.org/obo/MA_0000038	shoulder
http://purl.obolibrary.org/obo/MA_0000697	tail connective tissue	http://purl.obolibrary.org/obo/MA_0000008	tail
http://purl.obolibrary.org/obo/MA_0000555	thoracic cavity connective tissue	http://purl.obolibrary.org/obo/MA_0000032	thoracic cavity
http://purl.obolibrary.org/obo/MA_0000560	thoracic segment connective tissue	http://purl.obolibrary.org/obo/MA_0000022	thoracic segment of trunk
http://purl.obolibrary.org/obo/MA_0000513	trunk connective tissue	http://purl.obolibrary.org/obo/MA_0000004	trunk
http://purl.obolibrary.org/obo/MA_0000636	wrist connective tissue	http://purl.obolibrary.org/obo/MA_0000039	wrist
