defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/MA_0000641	ankle skin	http://purl.obolibrary.org/obo/MA_0000043	ankle	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000641	ankle skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000043	ankle
http://purl.obolibrary.org/obo/MA_0000596	arm skin	http://purl.obolibrary.org/obo/MA_0000033	arm	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000596	arm skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000033	arm
http://purl.obolibrary.org/obo/MA_0003120	autopod skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0002714	autopod
http://purl.obolibrary.org/obo/MA_0003120	autopod skin	http://purl.obolibrary.org/obo/MA_0002714	autopod	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0002572	descending thoracic aorta	http://purl.obolibrary.org/obo/MA_0002569	thoracic aorta	http://purl.obolibrary.org/obo/MA_0002571	descending aorta
http://purl.obolibrary.org/obo/MA_0002572	descending thoracic aorta	http://purl.obolibrary.org/obo/MA_0002571	descending aorta	http://purl.obolibrary.org/obo/MA_0002569	thoracic aorta
http://purl.obolibrary.org/obo/MA_0001668	distal convoluted tubule macula densa	http://purl.obolibrary.org/obo/MA_0001666	distal convoluted tubule	http://purl.obolibrary.org/obo/MA_0002603	macula densa
http://purl.obolibrary.org/obo/MA_0001668	distal convoluted tubule macula densa	http://purl.obolibrary.org/obo/MA_0002603	macula densa	http://purl.obolibrary.org/obo/MA_0001666	distal convoluted tubule
http://purl.obolibrary.org/obo/MA_0002604	distal straight tubule macula densa	http://purl.obolibrary.org/obo/MA_0001677	loop of henle ascending limb thick segment	http://purl.obolibrary.org/obo/MA_0002603	macula densa
http://purl.obolibrary.org/obo/MA_0002604	distal straight tubule macula densa	http://purl.obolibrary.org/obo/MA_0002603	macula densa	http://purl.obolibrary.org/obo/MA_0001677	loop of henle ascending limb thick segment
http://purl.obolibrary.org/obo/MA_0000610	elbow skin	http://purl.obolibrary.org/obo/MA_0000036	elbow	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000610	elbow skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000036	elbow
http://purl.obolibrary.org/obo/MA_0002638	female membranous urethra	http://purl.obolibrary.org/obo/MA_0002637	female urethra	http://purl.obolibrary.org/obo/MA_0002647	membranous urethra
http://purl.obolibrary.org/obo/MA_0002638	female membranous urethra	http://purl.obolibrary.org/obo/MA_0002647	membranous urethra	http://purl.obolibrary.org/obo/MA_0002637	female urethra
http://purl.obolibrary.org/obo/MA_0000654	foot skin	http://purl.obolibrary.org/obo/MA_0000044	foot	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000654	foot skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000044	foot
http://purl.obolibrary.org/obo/MA_0000617	forelimb skin	http://purl.obolibrary.org/obo/MA_0000025	forelimb	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000617	forelimb skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000025	forelimb
http://purl.obolibrary.org/obo/MA_0002606	glomerular mesangium	http://purl.obolibrary.org/obo/MA_0001657	glomerulus	http://purl.obolibrary.org/obo/MA_0002617	mesangium
http://purl.obolibrary.org/obo/MA_0002606	glomerular mesangium	http://purl.obolibrary.org/obo/MA_0002617	mesangium	http://purl.obolibrary.org/obo/MA_0001657	glomerulus
http://purl.obolibrary.org/obo/MA_0000630	hand skin	http://purl.obolibrary.org/obo/MA_0000037	hand	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000630	hand skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000037	hand
http://purl.obolibrary.org/obo/MA_0001636	hepatic duct extrahepatic part	http://purl.obolibrary.org/obo/MA_0000357	hepatic duct	http://purl.obolibrary.org/obo/MA_0002659	bile duct extrahepatic part
http://purl.obolibrary.org/obo/MA_0001636	hepatic duct extrahepatic part	http://purl.obolibrary.org/obo/MA_0002659	bile duct extrahepatic part	http://purl.obolibrary.org/obo/MA_0000357	hepatic duct
http://purl.obolibrary.org/obo/MA_0001637	hepatic duct intrahepatic part	http://purl.obolibrary.org/obo/MA_0000357	hepatic duct	http://purl.obolibrary.org/obo/MA_0001630	bile duct intrahepatic part
http://purl.obolibrary.org/obo/MA_0001637	hepatic duct intrahepatic part	http://purl.obolibrary.org/obo/MA_0001630	bile duct intrahepatic part	http://purl.obolibrary.org/obo/MA_0000357	hepatic duct
http://purl.obolibrary.org/obo/MA_0000665	hindlimb skin	http://purl.obolibrary.org/obo/MA_0000026	hindlimb	http://purl.obolibrary.org/obo/MA_0000694	limb skin
http://purl.obolibrary.org/obo/MA_0000665	hindlimb skin	http://purl.obolibrary.org/obo/MA_0000694	limb skin	http://purl.obolibrary.org/obo/MA_0000026	hindlimb
