defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/PATO_0001843	decreased acidity	http://purl.obolibrary.org/obo/PATO_0001842	acidity
http://purl.obolibrary.org/obo/PATO_0002334	decreased adhesivity	http://purl.obolibrary.org/obo/PATO_0002331	adhesive
http://purl.obolibrary.org/obo/PATO_0002072	decreased affinity	http://purl.obolibrary.org/obo/PATO_0002070	affinity
http://purl.obolibrary.org/obo/PATO_0001765	decreased age	http://purl.obolibrary.org/obo/PATO_0000011	age
http://purl.obolibrary.org/obo/PATO_0001997	decreased amount	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/PATO_0002328	decreased angle to	http://purl.obolibrary.org/obo/PATO_0002326	angle
http://purl.obolibrary.org/obo/PATO_0002042	decreased anterior-posterior diameter	http://purl.obolibrary.org/obo/PATO_0002041	anterior-posterior diameter
http://purl.obolibrary.org/obo/PATO_0002058	decreased area	http://purl.obolibrary.org/obo/PATO_0001323	area
http://purl.obolibrary.org/obo/PATO_0002075	decreased avidity	http://purl.obolibrary.org/obo/PATO_0002073	avidity
http://purl.obolibrary.org/obo/PATO_0000761	decreased behavioural activity	http://purl.obolibrary.org/obo/PATO_0001707	behavioural active
http://purl.obolibrary.org/obo/PATO_0002297	decreased cellular motility	http://purl.obolibrary.org/obo/PATO_0001488	cellular motility
http://purl.obolibrary.org/obo/PATO_0001899	decreased circumference	http://purl.obolibrary.org/obo/PATO_0001648	circumference
http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling	http://purl.obolibrary.org/obo/PATO_0000404	coiled
http://purl.obolibrary.org/obo/PATO_0015023	decreased combustibility	http://purl.obolibrary.org/obo/PATO_0015021	combustibility
http://purl.obolibrary.org/obo/PATO_0001163	decreased concentration	http://purl.obolibrary.org/obo/PATO_0001159	concentrated
http://purl.obolibrary.org/obo/PATO_0001581	decreased contractility	http://purl.obolibrary.org/obo/PATO_0001690	contractile
http://purl.obolibrary.org/obo/PATO_0001860	decreased coordination	http://purl.obolibrary.org/obo/PATO_0000769	coordinated
http://purl.obolibrary.org/obo/PATO_0001593	decreased curvature	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/PATO_0015015	decreased degree of illumination	http://purl.obolibrary.org/obo/PATO_0015013	degree of illumination
http://purl.obolibrary.org/obo/PATO_0001472	decreased depth	http://purl.obolibrary.org/obo/PATO_0001595	depth
http://purl.obolibrary.org/obo/PATO_0001715	decreased diameter	http://purl.obolibrary.org/obo/PATO_0001334	diameter
http://purl.obolibrary.org/obo/PATO_0000375	decreased distance	http://purl.obolibrary.org/obo/PATO_0000040	distance
http://purl.obolibrary.org/obo/PATO_0001672	decreased distribution	http://purl.obolibrary.org/obo/PATO_0001566	distributed
http://purl.obolibrary.org/obo/PATO_0000499	decreased duration	http://purl.obolibrary.org/obo/PATO_0001309	duration
http://purl.obolibrary.org/obo/PATO_0001311	decreased duration of temperature	http://purl.obolibrary.org/obo/PATO_0001310	duration of temperature
http://purl.obolibrary.org/obo/PATO_0015003	decreased efficacy	http://purl.obolibrary.org/obo/PATO_0015002	process efficacy
http://purl.obolibrary.org/obo/PATO_0001675	decreased efficiency	http://purl.obolibrary.org/obo/PATO_0001678	efficient
http://purl.obolibrary.org/obo/PATO_0002288	decreased elasticity	http://purl.obolibrary.org/obo/PATO_0001171	elastic
http://purl.obolibrary.org/obo/PATO_0001689	decreased elevation	http://purl.obolibrary.org/obo/PATO_0001687	elevation
http://purl.obolibrary.org/obo/PATO_0001696	decreased fecundity	http://purl.obolibrary.org/obo/PATO_0000273	fecundity
http://purl.obolibrary.org/obo/PATO_0001830	decreased female fertility	http://purl.obolibrary.org/obo/PATO_0000888	female fertile
http://purl.obolibrary.org/obo/PATO_0001724	decreased female receptivity	http://purl.obolibrary.org/obo/PATO_0001720	female receptivity
http://purl.obolibrary.org/obo/PATO_0001834	decreased fertility	http://purl.obolibrary.org/obo/PATO_0000955	fertile
http://purl.obolibrary.org/obo/PATO_0001777	decreased flexibility	http://purl.obolibrary.org/obo/PATO_0001544	flexible
http://purl.obolibrary.org/obo/PATO_0001838	decreased fluid flow	http://purl.obolibrary.org/obo/PATO_0002243	fluid flow rate
http://purl.obolibrary.org/obo/PATO_0001927	decreased fluorescence	http://purl.obolibrary.org/obo/PATO_0001290	fluorescent
http://purl.obolibrary.org/obo/PATO_0002246	decreased force	http://purl.obolibrary.org/obo/PATO_0001035	force
http://purl.obolibrary.org/obo/PATO_0002056	decreased fragility	http://purl.obolibrary.org/obo/PATO_0001362	fragile
http://purl.obolibrary.org/obo/PATO_0000381	decreased frequency	http://purl.obolibrary.org/obo/PATO_0000044	frequency
http://purl.obolibrary.org/obo/PATO_0001624	decreased functionality	http://purl.obolibrary.org/obo/PATO_0001510	functional
http://purl.obolibrary.org/obo/PATO_0000569	decreased height	http://purl.obolibrary.org/obo/PATO_0000119	height
http://purl.obolibrary.org/obo/PATO_0015011	decreased humidity	http://purl.obolibrary.org/obo/PATO_0015009	humidity
