defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/PATO_0045002	normal acidity	http://purl.obolibrary.org/obo/PATO_0001842	acidity
http://purl.obolibrary.org/obo/PATO_0045003	normal adhesivity	http://purl.obolibrary.org/obo/PATO_0002331	adhesive
http://purl.obolibrary.org/obo/PATO_0045004	normal affinity	http://purl.obolibrary.org/obo/PATO_0002070	affinity
http://purl.obolibrary.org/obo/PATO_0045005	normal age	http://purl.obolibrary.org/obo/PATO_0000011	age
http://purl.obolibrary.org/obo/PATO_0045041	normal angle to	http://purl.obolibrary.org/obo/PATO_0002326	angle
http://purl.obolibrary.org/obo/PATO_0045056	normal anterior-posterior diameter	http://purl.obolibrary.org/obo/PATO_0002041	anterior-posterior diameter
http://purl.obolibrary.org/obo/PATO_0045051	normal area	http://purl.obolibrary.org/obo/PATO_0001323	area
http://purl.obolibrary.org/obo/PATO_0045006	normal avidity	http://purl.obolibrary.org/obo/PATO_0002073	avidity
http://purl.obolibrary.org/obo/PATO_0045007	normal behavioural activity	http://purl.obolibrary.org/obo/PATO_0001707	behavioural active
http://purl.obolibrary.org/obo/PATO_0045008	normal cellular motility	http://purl.obolibrary.org/obo/PATO_0001488	cellular motility
http://purl.obolibrary.org/obo/PATO_0045058	normal circumference	http://purl.obolibrary.org/obo/PATO_0001648	circumference
http://purl.obolibrary.org/obo/PATO_0045009	normal coiling	http://purl.obolibrary.org/obo/PATO_0000404	coiled
http://purl.obolibrary.org/obo/PATO_0045010	normal concentration	http://purl.obolibrary.org/obo/PATO_0001159	concentrated
http://purl.obolibrary.org/obo/PATO_0045011	normal contractility	http://purl.obolibrary.org/obo/PATO_0001690	contractile
http://purl.obolibrary.org/obo/PATO_0045012	normal coordination	http://purl.obolibrary.org/obo/PATO_0000769	coordinated
http://purl.obolibrary.org/obo/PATO_0045013	normal curvature	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/PATO_0045052	normal depth	http://purl.obolibrary.org/obo/PATO_0001595	depth
http://purl.obolibrary.org/obo/PATO_0045055	normal diameter	http://purl.obolibrary.org/obo/PATO_0001334	diameter
http://purl.obolibrary.org/obo/PATO_0045014	normal distance	http://purl.obolibrary.org/obo/PATO_0000040	distance
http://purl.obolibrary.org/obo/PATO_0045042	normal distribution	http://purl.obolibrary.org/obo/PATO_0001566	distributed
http://purl.obolibrary.org/obo/PATO_0045084	normal duration	http://purl.obolibrary.org/obo/PATO_0001309	duration
http://purl.obolibrary.org/obo/PATO_0045085	normal duration of temperature	http://purl.obolibrary.org/obo/PATO_0001310	duration of temperature
http://purl.obolibrary.org/obo/PATO_0045015	normal efficiency	http://purl.obolibrary.org/obo/PATO_0001678	efficient
http://purl.obolibrary.org/obo/PATO_0045016	normal elasticity	http://purl.obolibrary.org/obo/PATO_0001171	elastic
http://purl.obolibrary.org/obo/PATO_0045043	normal elevation	http://purl.obolibrary.org/obo/PATO_0001687	elevation
http://purl.obolibrary.org/obo/PATO_0045065	normal fatigability	http://purl.obolibrary.org/obo/PATO_0001815	fatigability
http://purl.obolibrary.org/obo/PATO_0045017	normal fecundity	http://purl.obolibrary.org/obo/PATO_0000273	fecundity
http://purl.obolibrary.org/obo/PATO_0045018	normal female fertility	http://purl.obolibrary.org/obo/PATO_0000888	female fertile
http://purl.obolibrary.org/obo/PATO_0045019	normal female receptivity	http://purl.obolibrary.org/obo/PATO_0001720	female receptivity
http://purl.obolibrary.org/obo/PATO_0045020	normal fertility	http://purl.obolibrary.org/obo/PATO_0000955	fertile
http://purl.obolibrary.org/obo/PATO_0045021	normal flexibility	http://purl.obolibrary.org/obo/PATO_0001544	flexible
http://purl.obolibrary.org/obo/PATO_0045022	normal fluid flow	http://purl.obolibrary.org/obo/PATO_0002243	fluid flow rate
http://purl.obolibrary.org/obo/PATO_0045023	normal fluorescence	http://purl.obolibrary.org/obo/PATO_0001290	fluorescent
http://purl.obolibrary.org/obo/PATO_0045024	normal force	http://purl.obolibrary.org/obo/PATO_0001035	force
