defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/WBbt_0001001	AB nucleus	http://purl.obolibrary.org/obo/WBbt_0004015	AB
http://purl.obolibrary.org/obo/WBbt_0001002	ABa nucleus	http://purl.obolibrary.org/obo/WBbt_0005906	ABa
http://purl.obolibrary.org/obo/WBbt_0001003	ABal nucleus	http://purl.obolibrary.org/obo/WBbt_0006110	ABal
http://purl.obolibrary.org/obo/WBbt_0001004	ABala nucleus	http://purl.obolibrary.org/obo/WBbt_0006707	ABala
http://purl.obolibrary.org/obo/WBbt_0001005	ABalaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006039	ABalaa
http://purl.obolibrary.org/obo/WBbt_0001006	ABalaaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006216	ABalaaa
http://purl.obolibrary.org/obo/WBbt_0001007	ABalaaaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006427	ABalaaaa
http://purl.obolibrary.org/obo/WBbt_0001008	ABalaaaal nucleus	http://purl.obolibrary.org/obo/WBbt_0006725	ABalaaaal
http://purl.obolibrary.org/obo/WBbt_0001009	ABalaaaala nucleus	http://purl.obolibrary.org/obo/WBbt_0005966	ABalaaaala
http://purl.obolibrary.org/obo/WBbt_0001010	ABalaaaalar nucleus	http://purl.obolibrary.org/obo/WBbt_0005995	ABalaaaalar
http://purl.obolibrary.org/obo/WBbt_0001011	ABalaaaalp nucleus	http://purl.obolibrary.org/obo/WBbt_0006613	ABalaaaalp
http://purl.obolibrary.org/obo/WBbt_0001012	ABalaaaalpa nucleus	http://purl.obolibrary.org/obo/WBbt_0006368	ABalaaaalpa
http://purl.obolibrary.org/obo/WBbt_0001013	ABalaaaar nucleus	http://purl.obolibrary.org/obo/WBbt_0006155	ABalaaaar
http://purl.obolibrary.org/obo/WBbt_0001014	ABalaaaarl nucleus	http://purl.obolibrary.org/obo/WBbt_0005945	ABalaaaarl
http://purl.obolibrary.org/obo/WBbt_0001015	ABalaaaarla nucleus	http://purl.obolibrary.org/obo/WBbt_0006601	ABalaaaarla
http://purl.obolibrary.org/obo/WBbt_0001016	ABalaaaarr nucleus	http://purl.obolibrary.org/obo/WBbt_0006500	ABalaaaarr
http://purl.obolibrary.org/obo/WBbt_0001017	ABalaaaarra nucleus	http://purl.obolibrary.org/obo/WBbt_0006224	ABalaaaarra
http://purl.obolibrary.org/obo/WBbt_0001018	ABalaaap nucleus	http://purl.obolibrary.org/obo/WBbt_0005982	ABalaaap
http://purl.obolibrary.org/obo/WBbt_0001019	ABalaaapa nucleus	http://purl.obolibrary.org/obo/WBbt_0006688	ABalaaapa
http://purl.obolibrary.org/obo/WBbt_0001020	ABalaaapal nucleus	http://purl.obolibrary.org/obo/WBbt_0006473	ABalaaapal
http://purl.obolibrary.org/obo/WBbt_0001021	ABalaaapar nucleus	http://purl.obolibrary.org/obo/WBbt_0006248	ABalaaapar
http://purl.obolibrary.org/obo/WBbt_0001022	ABalaaaparl nucleus	http://purl.obolibrary.org/obo/WBbt_0006033	ABalaaaparl
http://purl.obolibrary.org/obo/WBbt_0001023	ABalaaapp nucleus	http://purl.obolibrary.org/obo/WBbt_0006706	ABalaaapp
http://purl.obolibrary.org/obo/WBbt_0001024	ABalaaappl nucleus	http://purl.obolibrary.org/obo/WBbt_0006467	ABalaaappl
http://purl.obolibrary.org/obo/WBbt_0001025	ABalaaapplr nucleus	http://purl.obolibrary.org/obo/WBbt_0006264	ABalaaapplr
http://purl.obolibrary.org/obo/WBbt_0001026	ABalaaappr nucleus	http://purl.obolibrary.org/obo/WBbt_0006029	ABalaaappr
http://purl.obolibrary.org/obo/WBbt_0001027	ABalaap nucleus	http://purl.obolibrary.org/obo/WBbt_0005907	ABalaap
http://purl.obolibrary.org/obo/WBbt_0001028	ABalaapa nucleus	http://purl.obolibrary.org/obo/WBbt_0006130	ABalaapa
http://purl.obolibrary.org/obo/WBbt_0001029	ABalaapaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006382	ABalaapaa
http://purl.obolibrary.org/obo/WBbt_0001030	ABalaapaaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006732	ABalaapaaa
http://purl.obolibrary.org/obo/WBbt_0001031	ABalaapaaal nucleus	http://purl.obolibrary.org/obo/WBbt_0005985	ABalaapaaal
http://purl.obolibrary.org/obo/WBbt_0001032	ABalaapaap nucleus	http://purl.obolibrary.org/obo/WBbt_0006206	ABalaapaap
http://purl.obolibrary.org/obo/WBbt_0001033	ABalaapaapa nucleus	http://purl.obolibrary.org/obo/WBbt_0006401	ABalaapaapa
http://purl.obolibrary.org/obo/WBbt_0001034	ABalaapap nucleus	http://purl.obolibrary.org/obo/WBbt_0006626	ABalaapap
http://purl.obolibrary.org/obo/WBbt_0001035	ABalaapapa nucleus	http://purl.obolibrary.org/obo/WBbt_0005920	ABalaapapa
http://purl.obolibrary.org/obo/WBbt_0001036	ABalaapapp nucleus	http://purl.obolibrary.org/obo/WBbt_0006137	ABalaapapp
http://purl.obolibrary.org/obo/WBbt_0001037	ABalaapappa nucleus	http://purl.obolibrary.org/obo/WBbt_0006417	ABalaapappa
http://purl.obolibrary.org/obo/WBbt_0001038	ABalaapp nucleus	http://purl.obolibrary.org/obo/WBbt_0006553	ABalaapp
http://purl.obolibrary.org/obo/WBbt_0001039	ABalaappa nucleus	http://purl.obolibrary.org/obo/WBbt_0006037	ABalaappa
http://purl.obolibrary.org/obo/WBbt_0001040	ABalaappaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006065	ABalaappaa
http://purl.obolibrary.org/obo/WBbt_0001041	ABalaappap nucleus	http://purl.obolibrary.org/obo/WBbt_0006287	ABalaappap
http://purl.obolibrary.org/obo/WBbt_0001042	ABalaappp nucleus	http://purl.obolibrary.org/obo/WBbt_0006683	ABalaappp
http://purl.obolibrary.org/obo/WBbt_0001043	ABalaapppa nucleus	http://purl.obolibrary.org/obo/WBbt_0006026	ABalaapppa
http://purl.obolibrary.org/obo/WBbt_0001044	ABalaapppap nucleus	http://purl.obolibrary.org/obo/WBbt_0006266	ABalaapppap
http://purl.obolibrary.org/obo/WBbt_0001045	ABalaapppp nucleus	http://purl.obolibrary.org/obo/WBbt_0006461	ABalaapppp
http://purl.obolibrary.org/obo/WBbt_0001046	ABalaappppa nucleus	http://purl.obolibrary.org/obo/WBbt_0006560	ABalaappppa
http://purl.obolibrary.org/obo/WBbt_0001047	ABalaappppap nucleus	http://purl.obolibrary.org/obo/WBbt_0005900	ABalaappppap
http://purl.obolibrary.org/obo/WBbt_0001048	ABalap nucleus	http://purl.obolibrary.org/obo/WBbt_0006101	ABalap
http://purl.obolibrary.org/obo/WBbt_0001049	ABalapa nucleus	http://purl.obolibrary.org/obo/WBbt_0006652	ABalapa
http://purl.obolibrary.org/obo/WBbt_0001050	ABalapaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006139	ABalapaa
http://purl.obolibrary.org/obo/WBbt_0001051	ABalapaaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006227	ABalapaaa
http://purl.obolibrary.org/obo/WBbt_0001052	ABalapaaaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006002	ABalapaaaa
http://purl.obolibrary.org/obo/WBbt_0001053	ABalapaaaap nucleus	http://purl.obolibrary.org/obo/WBbt_0006726	ABalapaaaap
http://purl.obolibrary.org/obo/WBbt_0001054	ABalapaaap nucleus	http://purl.obolibrary.org/obo/WBbt_0006493	ABalapaaap
http://purl.obolibrary.org/obo/WBbt_0001055	ABalapaap nucleus	http://purl.obolibrary.org/obo/WBbt_0006217	ABalapaap
http://purl.obolibrary.org/obo/WBbt_0001056	ABalapaapa nucleus	http://purl.obolibrary.org/obo/WBbt_0005981	ABalapaapa
http://purl.obolibrary.org/obo/WBbt_0001057	ABalapaapap nucleus	http://purl.obolibrary.org/obo/WBbt_0006738	ABalapaapap
http://purl.obolibrary.org/obo/WBbt_0001058	ABalapaapp nucleus	http://purl.obolibrary.org/obo/WBbt_0006504	ABalapaapp
http://purl.obolibrary.org/obo/WBbt_0001059	ABalapaappa nucleus	http://purl.obolibrary.org/obo/WBbt_0006196	ABalapaappa
http://purl.obolibrary.org/obo/WBbt_0001060	ABalapaappap nucleus	http://purl.obolibrary.org/obo/WBbt_0005856	ABalapaappap
http://purl.obolibrary.org/obo/WBbt_0001061	ABalapap nucleus	http://purl.obolibrary.org/obo/WBbt_0006562	ABalapap
http://purl.obolibrary.org/obo/WBbt_0001062	ABalapapa nucleus	http://purl.obolibrary.org/obo/WBbt_0006314	ABalapapa
http://purl.obolibrary.org/obo/WBbt_0001063	ABalapapaa nucleus	http://purl.obolibrary.org/obo/WBbt_0006090	ABalapapaa
http://purl.obolibrary.org/obo/WBbt_0001064	ABalapapap nucleus	http://purl.obolibrary.org/obo/WBbt_0005910	ABalapapap
http://purl.obolibrary.org/obo/WBbt_0001065	ABalapapapa nucleus	http://purl.obolibrary.org/obo/WBbt_0006575	ABalapapapa
http://purl.obolibrary.org/obo/WBbt_0001066	ABalapapapap nucleus	http://purl.obolibrary.org/obo/WBbt_0006365	ABalapapapap
http://purl.obolibrary.org/obo/WBbt_0001067	ABalapapp nucleus	http://purl.obolibrary.org/obo/WBbt_0006132	ABalapapp
http://purl.obolibrary.org/obo/WBbt_0001068	ABalapappa nucleus	http://purl.obolibrary.org/obo/WBbt_0005863	ABalapappa
