defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/GO_0045759	negative regulation of action potential	http://purl.obolibrary.org/obo/GO_0001508	action potential
http://purl.obolibrary.org/obo/GO_0048681	negative regulation of axon regeneration	http://purl.obolibrary.org/obo/GO_0031103	axon regeneration
http://purl.obolibrary.org/obo/GO_0048521	negative regulation of behavior	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/GO_0051100	negative regulation of binding	http://purl.obolibrary.org/obo/GO_0005488	binding
http://purl.obolibrary.org/obo/GO_0048519	negative regulation of biological process	http://purl.obolibrary.org/obo/GO_0008150	biological_process
http://purl.obolibrary.org/obo/GO_1904413	negative regulation of cardiac ventricle development	http://purl.obolibrary.org/obo/GO_0003231	cardiac ventricle development
http://purl.obolibrary.org/obo/GO_1905208	negative regulation of cardiocyte differentiation	http://purl.obolibrary.org/obo/GO_0035051	cardiocyte differentiation
http://purl.obolibrary.org/obo/GO_0043086	negative regulation of catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/GO_0010648	negative regulation of cell communication	http://purl.obolibrary.org/obo/GO_0007154	cell communication
http://purl.obolibrary.org/obo/GO_0045786	negative regulation of cell cycle	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
http://purl.obolibrary.org/obo/GO_0010948	negative regulation of cell cycle process	http://purl.obolibrary.org/obo/GO_0022402	cell cycle process
http://purl.obolibrary.org/obo/GO_0010721	negative regulation of cell development	http://purl.obolibrary.org/obo/GO_0048468	cell development
http://purl.obolibrary.org/obo/GO_0045596	negative regulation of cell differentiation	http://purl.obolibrary.org/obo/GO_0030154	cell differentiation
http://purl.obolibrary.org/obo/GO_0051782	negative regulation of cell division	http://purl.obolibrary.org/obo/GO_0051301	cell division
http://purl.obolibrary.org/obo/GO_0030336	negative regulation of cell migration	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/GO_2000146	negative regulation of cell motility	http://purl.obolibrary.org/obo/GO_0048870	cell motility
http://purl.obolibrary.org/obo/GO_0008285	negative regulation of cell population proliferation	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/GO_0031345	negative regulation of cell projection organization	http://purl.obolibrary.org/obo/GO_0030030	cell projection organization
http://purl.obolibrary.org/obo/GO_1901723	negative regulation of cell proliferation involved in kidney development	http://purl.obolibrary.org/obo/GO_0072111	cell proliferation involved in kidney development
http://purl.obolibrary.org/obo/GO_2000607	negative regulation of cell proliferation involved in mesonephros development	http://purl.obolibrary.org/obo/GO_0061209	cell proliferation involved in mesonephros development
http://purl.obolibrary.org/obo/GO_0051271	negative regulation of cellular component movement	http://purl.obolibrary.org/obo/GO_0006928	movement of cell or subcellular component
http://purl.obolibrary.org/obo/GO_0051129	negative regulation of cellular component organization	http://purl.obolibrary.org/obo/GO_0016043	cellular component organization
http://purl.obolibrary.org/obo/GO_0031324	negative regulation of cellular metabolic process	http://purl.obolibrary.org/obo/GO_0044237	cellular metabolic process
http://purl.obolibrary.org/obo/GO_0048523	negative regulation of cellular process	http://purl.obolibrary.org/obo/GO_0009987	cellular process
http://purl.obolibrary.org/obo/GO_0032466	negative regulation of cytokinesis	http://purl.obolibrary.org/obo/GO_0000910	cytokinesis
http://purl.obolibrary.org/obo/GO_0051494	negative regulation of cytoskeleton organization	http://purl.obolibrary.org/obo/GO_0007010	cytoskeleton organization
http://purl.obolibrary.org/obo/GO_0048640	negative regulation of developmental growth	http://purl.obolibrary.org/obo/GO_0048589	developmental growth
http://purl.obolibrary.org/obo/GO_0051093	negative regulation of developmental process	http://purl.obolibrary.org/obo/GO_0032502	developmental process
http://purl.obolibrary.org/obo/GO_2000384	negative regulation of ectoderm development	http://purl.obolibrary.org/obo/GO_0007398	ectoderm development
http://purl.obolibrary.org/obo/GO_0045992	negative regulation of embryonic development	http://purl.obolibrary.org/obo/GO_0009790	embryo development
http://purl.obolibrary.org/obo/GO_0045683	negative regulation of epidermis development	http://purl.obolibrary.org/obo/GO_0008544	epidermis development
http://purl.obolibrary.org/obo/GO_2000542	negative regulation of gastrulation	http://purl.obolibrary.org/obo/GO_0007369	gastrulation
http://purl.obolibrary.org/obo/GO_0045926	negative regulation of growth	http://purl.obolibrary.org/obo/GO_0040007	growth
http://purl.obolibrary.org/obo/GO_0002683	negative regulation of immune system process	http://purl.obolibrary.org/obo/GO_0002376	immune system process
http://purl.obolibrary.org/obo/GO_1902532	negative regulation of intracellular signal transduction	http://purl.obolibrary.org/obo/GO_0035556	intracellular signal transduction
http://purl.obolibrary.org/obo/GO_0090185	negative regulation of kidney development	http://purl.obolibrary.org/obo/GO_0001822	kidney development
http://purl.obolibrary.org/obo/GO_0033673	negative regulation of kinase activity	http://purl.obolibrary.org/obo/GO_0016301	kinase activity
http://purl.obolibrary.org/obo/GO_0040013	negative regulation of locomotion	http://purl.obolibrary.org/obo/GO_0040011	locomotion
http://purl.obolibrary.org/obo/GO_2000381	negative regulation of mesoderm development	http://purl.obolibrary.org/obo/GO_0007498	mesoderm development
http://purl.obolibrary.org/obo/GO_1905903	negative regulation of mesoderm formation	http://purl.obolibrary.org/obo/GO_0001707	mesoderm formation
http://purl.obolibrary.org/obo/GO_0061218	negative regulation of mesonephros development	http://purl.obolibrary.org/obo/GO_0001823	mesonephros development
http://purl.obolibrary.org/obo/GO_0009892	negative regulation of metabolic process	http://purl.obolibrary.org/obo/GO_0008152	metabolic process
http://purl.obolibrary.org/obo/GO_0045930	negative regulation of mitotic cell cycle	http://purl.obolibrary.org/obo/GO_0000278	mitotic cell cycle
http://purl.obolibrary.org/obo/GO_1902413	negative regulation of mitotic cytokinesis	http://purl.obolibrary.org/obo/GO_0000281	mitotic cytokinesis
http://purl.obolibrary.org/obo/GO_0045839	negative regulation of mitotic nuclear division	http://purl.obolibrary.org/obo/GO_0140014	mitotic nuclear division
http://purl.obolibrary.org/obo/GO_0044092	negative regulation of molecular function	http://purl.obolibrary.org/obo/GO_0003674	molecular_function
