defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/GO_0050804	modulation of chemical synaptic transmission	http://purl.obolibrary.org/obo/GO_0007268	chemical synaptic transmission
http://purl.obolibrary.org/obo/GO_0032956	regulation of actin cytoskeleton organization	http://purl.obolibrary.org/obo/GO_0030036	actin cytoskeleton organization
http://purl.obolibrary.org/obo/GO_0032970	regulation of actin filament-based process	http://purl.obolibrary.org/obo/GO_0030029	actin filament-based process
http://purl.obolibrary.org/obo/GO_0110020	regulation of actomyosin structure organization	http://purl.obolibrary.org/obo/GO_0031032	actomyosin structure organization
http://purl.obolibrary.org/obo/GO_0022603	regulation of anatomical structure morphogenesis	http://purl.obolibrary.org/obo/GO_0009653	anatomical structure morphogenesis
http://purl.obolibrary.org/obo/GO_0048679	regulation of axon regeneration	http://purl.obolibrary.org/obo/GO_0031103	axon regeneration
http://purl.obolibrary.org/obo/GO_0050795	regulation of behavior	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/GO_0051098	regulation of binding	http://purl.obolibrary.org/obo/GO_0005488	binding
http://purl.obolibrary.org/obo/GO_0050789	regulation of biological process	http://purl.obolibrary.org/obo/GO_0008150	biological_process
http://purl.obolibrary.org/obo/GO_1904412	regulation of cardiac ventricle development	http://purl.obolibrary.org/obo/GO_0003231	cardiac ventricle development
http://purl.obolibrary.org/obo/GO_1905207	regulation of cardiocyte differentiation	http://purl.obolibrary.org/obo/GO_0035051	cardiocyte differentiation
http://purl.obolibrary.org/obo/GO_0050790	regulation of catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/GO_0010646	regulation of cell communication	http://purl.obolibrary.org/obo/GO_0007154	cell communication
http://purl.obolibrary.org/obo/GO_0051726	regulation of cell cycle	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
http://purl.obolibrary.org/obo/GO_0010564	regulation of cell cycle process	http://purl.obolibrary.org/obo/GO_0022402	cell cycle process
http://purl.obolibrary.org/obo/GO_0060284	regulation of cell development	http://purl.obolibrary.org/obo/GO_0048468	cell development
http://purl.obolibrary.org/obo/GO_0045595	regulation of cell differentiation	http://purl.obolibrary.org/obo/GO_0030154	cell differentiation
http://purl.obolibrary.org/obo/GO_0051302	regulation of cell division	http://purl.obolibrary.org/obo/GO_0051301	cell division
http://purl.obolibrary.org/obo/GO_0030334	regulation of cell migration	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/GO_2000145	regulation of cell motility	http://purl.obolibrary.org/obo/GO_0048870	cell motility
http://purl.obolibrary.org/obo/GO_0042127	regulation of cell population proliferation	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/GO_0031344	regulation of cell projection organization	http://purl.obolibrary.org/obo/GO_0030030	cell projection organization
